date,ordinality,count
1845,0.1944,36
1850,0.45,60
1851,0.2812,32
1852,0.4722,36
1853,0.4667,30
1854,0.3214,56
1855,0.3871,31
1856,0.5,46
1857,0.4412,34
1859,0.3333,36
1860,0.4231,52
1861,0.4839,31
1866,0.4286,42
1867,0.4048,42
1868,0.3125,32
1870,0.3158,38
1871,0.3784,37
1872,0.3667,30
1873,0.4722,36
1874,0.4595,37
1875,0.2647,34
1877,0.1515,33
1878,0.322,59
1879,0.2812,32
1880,0.3061,49
1881,0.3913,46
1882,0.1964,56
1883,0.3966,58
1884,0.3696,46
1885,0.5385,52
1886,0.3455,55
1887,0.25,60
1888,0.2,65
1889,0.1905,63
1890,0.4466,103
1891,0.3684,57
1892,0.5405,37
1893,0.3065,62
1894,0.2716,81
1895,0.3152,92
1896,0.25,68
1897,0.1795,78
1898,0.3205,78
1899,0.2471,85
1900,0.2917,120
1901,0.4314,102
1902,0.1727,110
1903,0.3404,94
1904,0.3125,80
1905,0.2564,78
1906,0.2609,115
1907,0.1905,126
1908,0.3063,111
1909,0.2917,120
1910,0.4241,158
1911,0.2789,147
1912,0.274,146
1913,0.2992,127
1914,0.3333,180
1915,0.3469,147
1916,0.2517,147
1917,0.4853,136
1918,0.3652,115
1919,0.3152,165
1920,0.2661,124
1921,0.2804,107
1922,0.3352,176
1923,0.3947,76
1924,0.2252,111
1925,0.3704,108
1926,0.3205,78
1927,0.2247,89
1928,0.3039,102
1929,0.4508,122
1930,0.3148,108
1931,0.2424,99
1932,0.7249,229
1933,0.3571,70
1934,0.4464,112
1935,0.1918,73
1936,0.2301,113
1937,0.2083,120
1938,0.5412,194
1939,0.2408,191
1940,0.5267,131
1941,0.4396,182
1942,0.2714,140
1943,0.3167,120
1944,0.3,130
1945,0.2812,96
1946,0.4,200
1947,0.2945,146
1948,0.2672,232
1949,0.4335,173
1950,0.784,537
1951,0.4423,156
1952,0.2714,140
1953,0.3106,161
1954,0.4724,163
1955,0.3505,214
1956,0.6308,214
1957,0.4835,182
1958,0.4131,213
1959,0.4924,197
1960,0.4404,193
1961,0.3469,245
1962,0.5113,311
1963,0.496,248
1964,0.5444,248
1965,0.5836,293
1966,0.5318,267
1967,0.5588,204
1968,0.6276,290
1969,0.5894,263
1970,0.571,303
1971,0.5576,330
1972,0.4822,421
1973,0.5452,431
1974,0.6599,444
1975,0.5938,416
1976,0.5779,443
1977,0.614,513
1978,0.5672,469
1979,0.5348,460
1980,0.5262,439
1981,0.5397,580
1982,0.6033,421
1983,0.6312,442
1984,0.5633,371
1985,0.6316,399
1986,0.5762,328
1987,0.5912,411
1988,0.6392,413
1989,0.621,343
1990,0.7545,729
1991,0.4418,378
1992,0.6726,281
1993,0.6662,731
1994,0.5627,821
1995,0.5426,516
1996,0.622,455
1997,0.5882,238
1998,0.5977,348
1999,0.6349,252
2000,0.5612,196
2001,0.5625,128
2002,0.615,213
2003,0.4783,161
2004,0.5027,183
2005,0.5512,205
2006,0.5333,210
2007,0.544,125
2008,0.5854,123
2009,0.5833,120
2010,0.4286,49
2013,0.6364,44
