date,ordinality,count
1835,0.0,38
1836,0.0,38
1839,0.0,54
1840,0.0,36
1841,0.0,50
1844,0.0,36
1845,0.0,50
1846,0.0,50
1847,0.0,37
1848,0.0,47
1849,0.0,61
1850,0.0,61
1851,0.0,71
1852,0.0,78
1853,0.0,106
1854,0.0,94
1855,0.0,62
1856,0.0,76
1857,0.0141,71
1858,0.0,48
1859,0.0,83
1860,0.0,59
1861,0.0208,48
1862,0.0444,45
1863,0.0192,52
1864,0.0,61
1865,0.0,42
1866,0.0,67
1867,0.0,48
1868,0.0,74
1869,0.0,89
1870,0.0,85
1871,0.011,91
1872,0.0,70
1873,0.0109,92
1874,0.0143,70
1875,0.0,92
1876,0.0143,70
1877,0.0,62
1878,0.0357,84
1879,0.0179,112
1880,0.0102,98
1881,0.0,94
1882,0.0,96
1883,0.0261,115
1884,0.0,97
1885,0.0495,101
1886,0.0,106
1887,0.0,85
1888,0.0234,128
1889,0.0065,155
1890,0.0078,128
1891,0.0079,127
1892,0.0196,102
1893,0.0144,139
1894,0.0201,149
1895,0.0122,164
1896,0.0085,118
1897,0.0,130
1898,0.0,123
1899,0.0093,216
1900,0.0057,174
1901,0.0127,158
1902,0.0106,188
1903,0.0075,134
1904,0.0122,164
1905,0.0062,161
1906,0.0106,188
1907,0.0185,162
1908,0.012,167
1909,0.006,168
1910,0.0305,164
1911,0.0199,151
1912,0.017,176
1913,0.0056,180
1914,0.0113,177
1915,0.0074,136
1916,0.0086,116
1917,0.0275,109
1918,0.0146,137
1919,0.0081,124
1920,0.0217,138
1921,0.0096,104
1922,0.0113,177
1923,0.0105,95
1924,0.0105,95
1925,0.0,77
1926,0.0,74
1927,0.0,92
1928,0.0111,90
1929,0.0233,86
1930,0.0109,92
1931,0.0119,84
1932,0.0,72
1933,0.013,77
1934,0.0,65
1935,0.0469,64
1936,0.0227,88
1937,0.0,88
1938,0.0,72
1939,0.0,89
1940,0.0,67
1941,0.0337,89
1942,0.0159,63
1943,0.0,52
1944,0.0175,57
1945,0.0169,59
1946,0.0,93
1947,0.0119,84
1948,0.0093,108
1949,0.0089,112
1950,0.0294,102
1951,0.0225,89
1952,0.0603,116
1953,0.0,106
1954,0.0159,126
1955,0.0102,98
1956,0.0079,126
1957,0.0093,108
1958,0.037,135
1959,0.0187,107
1960,0.0354,113
1961,0.024,125
1962,0.0294,136
1963,0.0148,135
1964,0.0394,127
1965,0.05,140
1966,0.0153,131
1967,0.0339,177
1968,0.0255,196
1969,0.0169,178
1970,0.0178,169
1971,0.0491,163
1972,0.0333,150
1973,0.012,166
1974,0.0146,137
1975,0.0065,155
1976,0.0,124
1977,0.0078,129
1978,0.0267,150
1979,0.0248,161
1980,0.0138,145
1981,0.0186,161
1982,0.0204,147
1983,0.0192,156
1984,0.0081,123
1985,0.0189,106
1986,0.0661,121
1987,0.0204,147
1988,0.0387,181
1989,0.0236,127
1990,0.0099,101
1991,0.0455,88
1992,0.0297,101
1993,0.0254,354
1994,0.0433,416
1995,0.0332,241
1996,0.007,143
1997,0.0505,99
1998,0.0347,144
1999,0.0169,59
2000,0.0247,81
2001,0.0,51
2002,0.0392,51
2003,0.0,57
2004,0.0615,65
2005,0.0636,173
2006,0.0168,119
2007,0.0,38
2008,0.0762,105
2009,0.12,75
