date,ordinality,count
1829,0.9355,31
1830,0.8387,31
1831,0.9355,31
1832,0.881,42
1834,0.9574,47
1835,0.8,55
1836,0.8947,38
1837,0.9556,45
1838,0.9459,37
1839,0.9062,64
1840,1.0,31
1841,0.8197,61
1842,0.84,50
1843,0.9111,45
1844,0.8462,65
1845,0.8906,64
1846,0.825,80
1847,0.907,86
1848,0.8676,68
1849,0.8767,73
1850,0.8876,89
1851,0.8161,87
1852,0.7952,83
1853,0.8938,113
1854,0.8621,116
1855,0.8416,101
1856,0.837,92
1857,0.9474,95
1858,0.8857,70
1859,0.8667,105
1860,0.8152,92
1861,0.7857,42
1862,0.8108,37
1863,0.7826,46
1864,0.8033,61
1865,0.7321,56
1866,0.831,71
1867,0.8219,73
1868,0.8571,70
1869,0.8431,102
1870,0.7656,64
1871,0.9048,105
1872,0.9153,59
1873,0.9348,46
1874,0.8491,53
1875,0.8028,71
1876,0.8396,106
1877,0.8116,69
1878,0.8588,85
1879,0.7722,79
1880,0.8462,104
1881,0.8143,70
1882,0.7368,95
1883,0.7478,115
1884,0.7857,84
1885,0.7639,72
1886,0.7778,108
1887,0.75,84
1888,0.8308,130
1889,0.7317,123
1890,0.7944,107
1891,0.7238,105
1892,0.7857,112
1893,0.7734,128
1894,0.7033,91
1895,0.7477,111
1896,0.7375,80
1897,0.7604,96
1898,0.7222,90
1899,0.7125,160
1900,0.7423,97
1901,0.8211,95
1902,0.6914,81
1903,0.7474,95
1904,0.6972,109
1905,0.6129,93
1906,0.6923,104
1907,0.5841,113
1908,0.7232,112
1909,0.6195,113
1910,0.7381,84
1911,0.478,159
1912,0.6897,116
1913,0.66,100
1914,0.6373,102
1915,0.6854,89
1916,0.6,85
1917,0.6837,98
1918,0.6081,74
1919,0.7273,99
1920,0.619,84
1921,0.6623,77
1922,0.5146,103
1923,0.6389,36
1924,0.6957,46
1925,0.6667,57
1926,0.5652,46
1927,0.66,50
1928,0.6875,32
1929,0.5968,62
1930,0.8333,42
1931,0.5833,48
1932,0.619,42
1935,0.4737,38
1936,0.5686,51
1937,0.7297,37
1938,0.6471,34
1939,0.6304,46
1941,0.7,30
1945,0.75,32
1946,0.5161,31
1948,0.8065,31
1949,0.7209,43
1950,0.6875,32
1952,0.6129,31
1953,0.5882,34
1954,0.6757,37
1958,0.6176,34
1959,0.6,35
1960,0.6136,44
1961,0.7083,48
1962,0.7955,44
1963,0.7111,45
1964,0.6098,41
1965,0.6735,49
1966,0.7021,47
1967,0.7612,67
1968,0.7143,49
1969,0.7767,103
1970,0.7407,54
1971,0.6842,38
1972,0.8776,49
1973,0.8286,35
1974,0.8065,31
1975,0.7333,45
1976,0.8947,38
1977,0.7826,46
1978,0.6923,52
1979,0.6279,43
1980,0.7742,31
1981,0.8529,34
1982,0.9062,32
1984,0.875,32
1988,0.7941,34
1989,0.7838,37
1991,0.5806,31
1992,0.6061,33
1993,0.6,60
1994,0.6667,60
1995,0.7097,31
1996,0.7381,42
2005,0.8,30
2006,0.6061,33
