date,ordinality,count
1846,0.9487,39
1856,0.8444,45
1857,0.6667,45
1859,0.8909,55
1861,0.9024,41
1862,0.8438,32
1866,0.8605,43
1869,0.7907,43
1870,0.7568,37
1871,0.8649,37
1875,0.9318,44
1878,0.8125,32
1880,0.7321,56
1881,0.7727,44
1882,0.7391,46
1883,0.8298,47
1884,0.9107,56
1886,0.5806,31
1887,0.8545,55
1888,0.8431,51
1889,0.8696,46
1890,0.8933,75
1891,0.8333,72
1892,0.8913,46
1893,0.8158,38
1894,0.9143,35
1895,0.8125,48
1897,0.8596,57
1898,0.8974,39
1899,0.8,30
1900,0.8261,46
1901,0.8471,85
1902,0.8421,38
1903,0.8333,54
1904,0.8036,56
1905,0.9434,53
1906,0.7895,57
1907,0.8833,60
1908,0.8548,62
1909,0.8913,46
1910,0.7941,34
1912,0.7714,35
1913,0.8056,36
1914,0.8125,32
1915,0.9118,68
1917,0.75,32
1921,0.8387,31
1928,0.93,100
1936,0.7027,37
1938,0.6333,30
1939,0.9545,44
1952,0.8529,34
1953,0.8571,35
1954,0.8065,31
1955,0.7907,43
1957,0.814,43
1958,0.6154,39
1959,0.9405,84
1960,0.8493,73
1961,0.7708,48
1962,0.6667,48
1964,0.8923,65
1965,0.7586,58
1966,0.8922,102
1967,0.9184,98
1968,0.7848,79
1969,0.7937,63
1970,0.7083,96
1971,0.7568,74
1972,0.8901,91
1973,0.7976,84
1974,0.79,100
1975,0.8571,91
1976,0.7907,43
1977,0.8571,70
1978,0.7761,67
1979,0.8298,47
1980,0.7895,57
1981,0.7021,47
1982,0.7183,71
1983,0.7969,64
1984,0.9,60
1985,0.9077,65
1986,0.814,43
1987,0.7869,61
1988,0.7463,67
1989,0.7674,43
1990,0.8387,31
1991,0.75,36
1992,0.8393,56
1993,0.6538,182
1994,0.7942,243
1995,0.8488,172
1996,0.7885,52
1997,0.8039,51
1998,0.8596,57
2001,0.9024,41
2002,0.8205,39
2003,0.7059,34
2004,0.9412,68
2005,0.8876,89
2006,0.8873,71
2008,0.8333,66
2009,0.7368,38
