date,ordinality,count
1811,0.0811,37
1815,0.0625,32
1816,0.0968,31
1818,0.1739,46
1821,0.0526,38
1822,0.1111,36
1823,0.1143,35
1824,0.2,35
1826,0.1875,32
1827,0.087,46
1828,0.0465,43
1829,0.0976,41
1830,0.1556,45
1831,0.0909,55
1832,0.0556,54
1833,0.14,50
1834,0.125,56
1835,0.08,75
1836,0.102,49
1837,0.129,62
1838,0.0758,66
1839,0.1296,54
1840,0.28,50
1841,0.197,66
1842,0.0476,105
1843,0.0149,67
1844,0.0921,76
1845,0.1429,63
1846,0.101,99
1847,0.0882,102
1848,0.1714,70
1849,0.0854,82
1850,0.0909,121
1851,0.1905,105
1852,0.2162,74
1853,0.0574,122
1854,0.0962,156
1855,0.1354,96
1856,0.1034,116
1857,0.1,50
1858,0.1446,83
1859,0.1504,113
1860,0.0643,140
1861,0.0735,68
1862,0.16,50
1863,0.0426,47
1864,0.1053,57
1865,0.0545,55
1866,0.1228,57
1867,0.1774,62
1868,0.098,51
1869,0.0833,60
1870,0.1562,64
1871,0.1613,62
1872,0.087,46
1873,0.1944,36
1874,0.0794,63
1875,0.1509,53
1876,0.2353,51
1877,0.2553,47
1878,0.2885,52
1879,0.2344,64
1880,0.1475,61
1881,0.1613,62
1882,0.1957,46
1883,0.2955,44
1884,0.1571,70
1885,0.1429,63
1886,0.3019,53
1887,0.2903,31
1888,0.1667,36
1889,0.1493,67
1890,0.1724,58
1891,0.1538,52
1892,0.1571,70
1893,0.1837,49
1894,0.0784,51
1895,0.18,50
1896,0.3617,47
1898,0.2157,51
1899,0.2114,123
1900,0.1154,52
1901,0.0727,55
1902,0.1373,51
1903,0.2188,32
1904,0.2619,42
1905,0.2,40
1906,0.2075,53
1907,0.2326,43
1908,0.1739,46
1909,0.1364,44
1910,0.1579,38
1911,0.122,41
1912,0.2368,38
1913,0.15,40
1915,0.2432,37
1919,0.1538,39
1934,0.1316,38
1963,0.1951,41
1964,0.2889,45
1965,0.359,39
1966,0.2394,71
1967,0.1579,57
1968,0.3415,41
1969,0.3721,43
1970,0.3784,37
1972,0.2917,48
1973,0.3488,43
1974,0.3824,34
1976,0.2903,31
1978,0.2121,33
1979,0.2979,47
1981,0.3125,32
1982,0.2286,35
1983,0.4333,30
1985,0.2632,38
1987,0.3714,35
1988,0.2391,46
1989,0.3542,48
1993,0.2055,73
1994,0.2841,88
1995,0.225,40
1996,0.2115,52
1998,0.2105,38
2006,0.35,40
