date,ordinality,count
1884,1.0,50
1889,1.0,35
1891,0.9714,35
1893,1.0,61
1894,1.0,40
1895,1.0,36
1896,1.0,43
1897,1.0,32
1899,0.9677,31
1900,1.0,58
1901,1.0,43
1902,1.0,43
1903,0.9796,49
1904,1.0,39
1905,1.0,43
1906,1.0,55
1907,1.0,34
1908,1.0,49
1909,1.0,83
1910,1.0,82
1911,0.9825,57
1912,1.0,63
1913,1.0,62
1914,0.9863,73
1915,1.0,81
1916,1.0,67
1917,0.9808,52
1918,1.0,67
1919,1.0,83
1920,1.0,70
1921,1.0,60
1922,1.0,78
1923,1.0,41
1924,1.0,46
1925,1.0,42
1926,1.0,45
1927,1.0,56
1928,1.0,45
1929,1.0,40
1930,1.0,41
1931,1.0,54
1932,1.0,57
1933,1.0,60
1934,1.0,54
1935,1.0,82
1936,1.0,72
1937,1.0,97
1938,1.0,74
1939,1.0,83
1940,1.0,86
1941,1.0,89
1942,1.0,54
1943,1.0,42
1944,1.0,51
1945,1.0,75
1946,1.0,37
1947,1.0,82
1948,1.0,97
1949,0.987,77
1950,1.0,96
1951,1.0,147
1952,1.0,72
1953,1.0,82
1954,1.0,78
1955,1.0,76
1956,1.0,100
1957,1.0,80
1958,1.0,93
1959,1.0,133
1960,0.993,142
1961,1.0,90
1962,1.0,110
1963,1.0,133
1964,1.0,126
1965,1.0,121
1966,1.0,130
1967,0.9929,141
1968,1.0,116
1969,1.0,125
1970,1.0,142
1971,1.0,192
1972,1.0,146
1973,0.9759,166
1974,1.0,188
1975,0.9968,313
1976,1.0,222
1977,1.0,359
1978,1.0,415
1979,1.0,278
1980,0.9976,421
1981,1.0,413
1982,1.0,291
1983,1.0,292
1984,1.0,309
1985,1.0,279
1986,1.0,243
1987,1.0,273
1988,0.997,333
1989,0.9957,231
1990,0.9948,192
1991,0.9952,208
1992,1.0,231
1993,1.0,1273
1994,1.0,541
1995,0.9854,478
1996,1.0,282
1997,0.9873,237
1998,0.9958,237
1999,0.9951,204
2000,1.0,159
2001,0.993,143
2002,0.9877,162
2003,0.9942,171
2004,1.0,153
2005,0.9921,253
2006,1.0,194
2007,1.0,114
2008,0.9931,144
2009,1.0,131
2010,1.0,61
2011,1.0,37
