date,ordinality,count
1843,0.8857,35
1847,0.8929,56
1850,0.8286,35
1851,0.7742,31
1852,0.8372,43
1853,0.8421,38
1854,0.8788,33
1855,0.9211,38
1857,0.7742,31
1858,0.8636,44
1859,0.7895,57
1864,0.9333,30
1869,0.8065,31
1878,0.8478,46
1880,0.9118,34
1881,0.9062,32
1882,0.8286,35
1883,0.8372,43
1884,0.8974,39
1885,0.875,32
1886,0.8667,30
1887,0.8,35
1888,0.7812,32
1889,0.9111,45
1890,0.95,60
1891,0.8421,38
1892,0.7963,54
1893,0.913,46
1894,0.8723,47
1895,0.9,30
1896,0.8605,43
1897,0.8,30
1898,0.8571,49
1899,0.9333,60
1900,0.9394,66
1901,0.8571,42
1902,0.8966,58
1903,0.8718,39
1904,0.78,50
1905,0.9,60
1906,0.9054,74
1907,0.9038,52
1908,0.8947,57
1909,0.8889,45
1910,0.8167,60
1911,0.7412,85
1912,0.8966,58
1913,0.697,66
1914,0.8254,63
1915,0.9706,34
1916,0.8261,46
1917,0.8511,47
1919,0.7436,39
1920,0.8519,54
1921,0.878,41
1922,0.8621,58
1924,0.9091,44
1925,0.8824,34
1927,0.7581,62
1929,0.9167,36
1930,0.9286,42
1931,0.8444,45
1934,0.8421,38
1935,0.907,43
1936,0.871,31
1937,0.7857,42
1938,0.825,40
1939,0.9167,36
1942,0.7667,30
1944,0.8529,34
1945,0.8333,36
1946,0.9,30
1947,0.9394,33
1948,0.9,30
1949,0.9211,38
1950,0.9512,41
1951,0.9444,36
1952,0.8841,69
1953,0.8125,64
1954,0.825,40
1955,0.8936,47
1956,0.8378,37
1957,0.9412,34
1958,0.8478,46
1959,0.8864,44
1960,0.8113,53
1961,0.8889,81
1962,0.8143,70
1963,0.9167,60
1964,0.9074,54
1965,0.82,50
1966,0.798,99
1967,0.8333,72
1968,0.8974,78
1969,0.8873,71
1970,0.8788,66
1971,0.7714,70
1972,0.9104,67
1973,0.9,50
1974,0.9206,63
1975,0.8929,56
1976,0.8718,39
1977,0.931,58
1978,0.8772,57
1979,0.7925,53
1980,0.814,43
1981,0.8718,39
1982,0.8636,44
1983,0.8125,48
1984,0.8696,69
1985,0.8545,55
1986,0.8305,59
1987,0.8367,49
1988,0.6275,51
1989,0.8696,46
1991,0.8919,37
1992,0.875,48
1993,0.7473,91
1994,0.8952,124
1995,0.8375,80
1996,0.6923,65
1997,0.9429,35
1998,0.7963,54
1999,0.8378,37
2000,0.9355,31
2003,0.7692,39
2005,0.8095,42
2006,0.9487,39
2008,0.9077,65
