date,ordinality,count
1826,1.0,245
1827,1.0,75
1828,1.0,64
1829,1.0,59
1830,1.0,59
1831,1.0,89
1832,1.0,55
1833,1.0,49
1834,1.0,51
1835,1.0,57
1836,1.0,59
1837,1.0,93
1838,1.0,117
1839,1.0,74
1840,1.0,80
1841,1.0,71
1842,1.0,65
1843,1.0,67
1844,1.0,64
1845,1.0,178
1846,1.0,64
1847,1.0,100
1848,1.0,88
1849,1.0,112
1850,1.0,96
1851,1.0,93
1852,1.0,131
1853,1.0,138
1854,1.0,159
1855,1.0,108
1856,1.0,127
1857,1.0,109
1858,1.0,86
1859,1.0,135
1860,1.0,141
1861,1.0,111
1862,1.0,74
1863,1.0,81
1864,1.0,96
1865,1.0,79
1866,1.0,119
1867,1.0,106
1868,1.0,125
1869,1.0,112
1870,1.0,139
1871,1.0,133
1872,1.0,99
1873,1.0,124
1874,1.0,117
1875,1.0,127
1876,1.0,137
1877,1.0,114
1878,1.0,135
1879,1.0,178
1880,1.0,185
1881,1.0,170
1882,1.0,152
1883,1.0,152
1884,1.0,166
1885,1.0,151
1886,1.0,158
1887,1.0,137
1888,1.0,175
1889,1.0,156
1890,1.0,155
1891,1.0,165
1892,1.0,165
1893,1.0,175
1894,1.0,146
1895,1.0,153
1896,1.0,178
1897,1.0,133
1898,1.0,155
1899,1.0,194
1900,1.0,179
1901,1.0,167
1902,1.0,129
1903,1.0,153
1904,1.0,138
1905,1.0,128
1906,1.0,205
1907,1.0,219
1908,1.0,194
1909,1.0,172
1910,1.0,188
1911,1.0,138
1912,1.0,188
1913,1.0,165
1914,1.0,191
1915,1.0,172
1916,1.0,144
1917,1.0,127
1918,1.0,109
1919,1.0,160
1920,1.0,126
1921,1.0,97
1922,1.0,140
1923,1.0,83
1924,1.0,50
1925,1.0,113
1926,1.0,123
1927,1.0,166
1928,1.0,186
1929,1.0,125
1930,1.0,126
1931,1.0,118
1932,1.0,104
1933,1.0,70
1934,1.0,78
1935,1.0,91
1936,1.0,100
1937,1.0,74
1938,1.0,55
1939,1.0,98
1940,1.0,78
1941,1.0,92
1942,1.0,66
1943,1.0,46
1944,1.0,46
1945,1.0,74
1946,1.0,66
1947,1.0,53
1948,1.0,76
1949,1.0,64
1950,1.0,92
1951,1.0,54
1952,1.0,58
1953,1.0,60
1954,1.0,62
1955,1.0,58
1956,1.0,62
1957,1.0,64
1958,1.0,77
1959,1.0,67
1960,1.0,80
1961,1.0,76
1962,1.0,72
1963,1.0,95
1964,1.0,85
1965,1.0,73
1966,1.0,83
1967,1.0,103
1968,1.0,99
1969,1.0,122
1970,1.0,121
1971,1.0,118
1972,1.0,117
1973,1.0,95
1974,1.0,107
1975,1.0,74
1976,1.0,68
1977,1.0,69
1978,1.0,66
1979,1.0,55
1980,1.0,76
1981,1.0,78
1982,1.0,58
1983,1.0,74
1984,1.0,61
1985,1.0,69
1986,1.0,56
1987,1.0,48
1988,1.0,69
1989,1.0,57
1990,1.0,48
1991,1.0,45
1992,1.0,53
1993,1.0,96
1994,1.0,95
1995,1.0,67
1996,1.0,57
1997,1.0,38
1998,1.0,30
1999,1.0,32
2008,1.0,31
