date,ordinality,count
1954,0.3604,38
1959,0.2272,37
1960,0.2316,40
1961,0.248,37
1962,0.2114,41
1963,0.1946,38
1964,0.3978,36
1965,0.3117,48
1966,0.251,55
1967,0.2104,52
1968,0.2062,76
1969,0.1748,59
1970,0.2905,71
1971,0.2118,72
1972,0.2424,62
1973,0.3458,63
1974,0.3636,76
1975,0.2854,60
1976,0.363,53
1977,0.3413,59
1978,0.2496,54
1979,0.2917,64
1980,0.2767,58
1981,0.2477,62
1982,0.3191,76
1983,0.2601,80
1984,0.2343,77
1985,0.3008,57
1986,0.3914,50
1987,0.3369,80
1988,0.3464,106
1989,0.3254,69
1990,0.4354,61
1991,0.3684,57
1992,0.3821,65
1993,0.4041,104
1994,0.3685,131
1995,0.3927,116
1996,0.362,95
1997,0.4204,60
1998,0.439,76
1999,0.3979,44
2000,0.3847,47
2001,0.4425,40
2002,0.3711,53
2003,0.3647,43
2004,0.3926,35
2005,0.4085,75
2006,0.4168,77
2008,0.5316,59
2009,0.4592,49
