date,ordinality,count
1961,0.3226,31
1962,0.3429,35
1963,0.3761,37
1964,0.4857,35
1965,0.246,42
1966,0.2211,49
1967,0.2972,53
1968,0.1961,51
1969,0.3068,44
1970,0.2283,46
1971,0.2102,44
1972,0.2193,57
1973,0.327,53
1974,0.3854,48
1975,0.4,40
1976,0.381,35
1977,0.3194,48
1978,0.1982,37
1979,0.2727,44
1980,0.3902,41
1981,0.1422,51
1982,0.2817,71
1983,0.2683,41
1984,0.3627,34
1985,0.375,32
1987,0.4306,36
1988,0.3611,54
1989,0.3529,34
1993,0.3611,48
1994,0.4146,41
1995,0.395,50
1996,0.375,40
1998,0.2571,35
2005,0.4825,38
