date,ordinality,count
1898,0.2929,33
1899,0.2708,32
1902,0.4055,34
1905,0.4274,31
1912,0.535,33
1916,0.4427,32
1920,0.6828,31
1930,0.5737,33
1932,0.4375,32
1935,0.4038,33
1936,0.6765,34
1940,0.7075,35
1947,0.5769,39
1950,0.4722,33
1954,0.625,34
1958,0.414,31
1959,0.4854,40
1961,0.6218,39
1962,0.505,50
1963,0.6656,31
1964,0.5425,51
1965,0.5813,42
1966,0.463,54
1967,0.4702,38
1968,0.485,50
1969,0.599,69
1970,0.4781,71
1971,0.4502,67
1972,0.6627,68
1973,0.4706,68
1974,0.5741,58
1975,0.6083,40
1976,0.5152,33
1977,0.5432,54
1978,0.617,47
1980,0.4782,44
1981,0.5525,47
1982,0.6098,41
1983,0.5536,42
1986,0.7195,33
1987,0.6357,35
1988,0.5484,34
1989,0.6125,40
1993,0.4619,35
1994,0.5417,54
1995,0.564,43
1996,0.6986,47
1997,0.625,44
1998,0.5662,40
2005,0.6801,36
2006,0.48,48
