date,ordinality,count
1823,0.4527,31
1828,0.3636,33
1830,0.5171,39
1833,0.4868,38
1834,0.3795,39
1835,0.6667,39
1836,0.5243,46
1837,0.4643,35
1838,0.4266,42
1839,0.4363,68
1840,0.4367,50
1841,0.4979,40
1842,0.5581,43
1843,0.5947,48
1844,0.4283,43
1845,0.4659,66
1846,0.4152,56
1847,0.2917,48
1848,0.4333,75
1849,0.5509,54
1850,0.4672,61
1851,0.5321,78
1852,0.4406,92
1853,0.5198,74
1854,0.4026,89
1855,0.352,76
1856,0.568,103
1857,0.4353,85
1858,0.5471,46
1859,0.5085,92
1860,0.6072,76
1861,0.5586,64
1862,0.4608,51
1863,0.5317,63
1864,0.6984,63
1865,0.4833,60
1866,0.6432,78
1867,0.5619,74
1868,0.5915,71
1869,0.7073,80
1870,0.6667,66
1871,0.4957,78
1872,0.5693,88
1873,0.5409,47
1874,0.5923,65
1875,0.4624,62
1876,0.5726,84
1877,0.62,50
1878,0.5652,69
1879,0.5294,68
1880,0.5042,60
1881,0.6987,78
1882,0.6633,74
1883,0.6215,72
1884,0.4518,114
1885,0.6159,82
1886,0.4747,66
1887,0.5427,82
1888,0.6232,79
1889,0.5426,90
1890,0.5168,99
1891,0.4304,79
1892,0.6255,85
1893,0.5278,90
1894,0.5647,85
1895,0.564,77
1896,0.5142,94
1897,0.4671,86
1898,0.4384,88
1899,0.4334,149
1900,0.5342,117
1901,0.6203,97
1902,0.5473,115
1903,0.5675,82
1904,0.5524,103
1905,0.6948,77
1906,0.5685,73
1907,0.5111,90
1908,0.5519,106
1909,0.5997,102
1910,0.5435,115
1911,0.5924,92
1912,0.6086,89
1913,0.6497,98
1914,0.5481,90
1915,0.5927,124
1916,0.5446,121
1917,0.6417,120
1918,0.5538,122
1919,0.634,143
1920,0.6144,134
1921,0.5405,111
1922,0.6606,109
1923,0.6257,61
1924,0.5696,79
1925,0.6371,62
1926,0.675,60
1927,0.6286,70
1928,0.75,46
1929,0.4868,63
1930,0.6303,55
1931,0.5461,47
1932,0.6739,69
1933,0.6053,57
1934,0.5734,59
1935,0.6045,67
1936,0.5364,55
1937,0.6471,51
1938,0.5847,63
1939,0.5635,63
1940,0.6909,55
1941,0.6338,66
1942,0.6562,64
1943,0.6422,68
1944,0.5909,55
1945,0.6771,72
1946,0.625,64
1947,0.6517,69
1948,0.7103,65
1949,0.5435,69
1950,0.6638,58
1951,0.5672,67
1952,0.608,71
1953,0.5921,76
1954,0.5246,61
1955,0.6549,85
1956,0.7744,82
1957,0.5962,71
1958,0.6726,84
1959,0.6921,97
1960,0.5245,98
1961,0.6794,118
1962,0.612,119
1963,0.7125,129
1964,0.6679,131
1965,0.6838,136
1966,0.6062,113
1967,0.6119,140
1968,0.5683,205
1969,0.5466,186
1970,0.5417,180
1971,0.5767,175
1972,0.6418,181
1973,0.5539,167
1974,0.5291,172
1975,0.6679,131
1976,0.6346,104
1977,0.637,146
1978,0.5897,117
1979,0.5647,116
1980,0.5673,114
1981,0.6507,136
1982,0.6497,118
1983,0.5541,134
1984,0.5797,115
1985,0.7045,88
1986,0.6092,87
1987,0.5426,141
1988,0.6071,140
1989,0.7009,112
1990,0.5971,103
1991,0.6488,84
1992,0.5955,89
1993,0.5617,171
1994,0.6086,201
1995,0.5736,163
1996,0.6754,115
1997,0.6493,115
1998,0.6712,114
1999,0.6353,85
2000,0.7208,60
2001,0.5857,64
2002,0.6182,110
2003,0.6949,97
2004,0.6176,107
2005,0.63,157
2006,0.6769,146
2007,0.6212,77
2008,0.6412,108
2009,0.7457,116
2010,0.4762,35
