date,ordinality,count
1961,0.5758,33
1967,0.7812,32
1968,0.6562,32
1969,0.65,40
1970,0.6403,39
1971,0.5606,33
1972,0.5,40
1973,0.5909,44
1974,0.6042,48
1975,0.6101,53
1976,0.5976,41
1977,0.7018,57
1978,0.5517,58
1979,0.6462,65
1980,0.6531,49
1981,0.6318,43
1982,0.6271,59
1983,0.6035,66
1984,0.6016,64
1985,0.6667,40
1986,0.65,60
1987,0.7917,52
1988,0.6464,76
1989,0.6893,70
1990,0.6429,56
1991,0.6059,59
1992,0.558,46
1993,0.629,92
1994,0.6653,125
1995,0.6149,87
1996,0.7173,84
1997,0.7672,68
1998,0.6997,96
1999,0.7353,51
2000,0.6991,39
2001,0.6667,42
2002,0.6607,56
2003,0.6818,44
2004,0.6528,36
2005,0.6616,66
2006,0.675,56
2008,0.6932,44
2009,0.7391,46
