date,ordinality,count
1947,0.4647,34
1948,0.4677,31
1949,0.4118,34
1950,0.5099,35
1954,0.625,31
1955,0.6587,42
1956,0.5503,48
1957,0.5479,37
1958,0.4907,36
1959,0.6718,37
1960,0.4325,38
1961,0.4744,39
1962,0.4169,59
1963,0.4924,66
1964,0.521,70
1965,0.6635,52
1966,0.4283,73
1967,0.5493,64
1968,0.5342,77
1969,0.507,71
1970,0.6383,72
1971,0.6558,92
1972,0.5582,63
1973,0.5054,93
1974,0.5992,87
1975,0.5225,114
1976,0.551,146
1977,0.5946,156
1978,0.5938,152
1979,0.5977,162
1980,0.5222,157
1981,0.6735,150
1982,0.6233,165
1983,0.5653,157
1984,0.5974,175
1985,0.6732,190
1986,0.6295,148
1987,0.574,169
1988,0.5592,156
1989,0.5327,129
1990,0.6087,115
1991,0.5446,114
1992,0.6063,134
1993,0.53,157
1994,0.5507,196
1995,0.5532,165
1996,0.4873,144
1997,0.5271,139
1998,0.5636,142
1999,0.6896,134
2000,0.5382,96
2001,0.5744,75
2002,0.4349,87
2003,0.5598,107
2004,0.5626,63
2005,0.4678,108
2006,0.4853,95
2007,0.6857,35
2008,0.4816,67
2009,0.5064,76
