date,ordinality,count
1896,0.3438,32
1899,0.3779,43
1900,0.3261,46
1902,0.1892,37
1905,0.25,36
1906,0.3056,36
1909,0.2286,35
1910,0.1774,31
1911,0.25,32
1912,0.1429,35
1913,0.4412,34
1919,0.2727,33
1922,0.2197,44
1926,0.3788,33
1927,0.2571,35
1928,0.2734,32
1929,0.2258,31
1931,0.2647,34
1948,0.3594,32
1954,0.275,40
1959,0.1892,37
1960,0.2442,43
1961,0.2586,58
1962,0.2403,43
1963,0.2,45
1964,0.1887,53
1965,0.3201,63
1966,0.3537,49
1967,0.2925,53
1968,0.1214,84
1969,0.2254,61
1970,0.2732,61
1971,0.3154,65
1972,0.2632,76
1973,0.2778,54
1974,0.2743,79
1975,0.2209,43
1976,0.2353,34
1977,0.2,45
1978,0.1625,40
1979,0.213,54
1980,0.2424,33
1981,0.2745,51
1982,0.2816,58
1983,0.2292,48
1984,0.1321,53
1985,0.1892,37
1987,0.4412,51
1988,0.25,64
1989,0.2051,39
1990,0.1765,34
1992,0.2941,34
1993,0.3636,44
1994,0.2031,64
1995,0.3806,67
1996,0.3684,57
1997,0.2162,37
1998,0.3205,39
2005,0.2273,44
2006,0.3056,36
