date,ordinality,count
1959,0.0,32
1961,0.0,32
1962,0.0,37
1963,0.0182,55
1964,0.0833,36
1965,0.0,40
1966,0.0392,51
1967,0.0,53
1968,0.0175,57
1969,0.0556,54
1970,0.0222,45
1971,0.0152,66
1972,0.0339,59
1973,0.0606,66
1974,0.0575,58
1975,0.075,40
1976,0.0192,52
1977,0.0,48
1978,0.0,61
1979,0.0417,60
1980,0.0268,56
1981,0.0333,60
1982,0.0323,62
1983,0.0159,63
1984,0.026,77
1985,0.037,54
1986,0.0256,39
1987,0.0135,74
1988,0.0123,81
1989,0.0128,78
1990,0.0435,46
1991,0.0,39
1992,0.0612,49
1993,0.0164,61
1994,0.0367,109
1995,0.0336,134
1996,0.026,77
1997,0.0213,47
1998,0.0149,67
1999,0.0,41
2000,0.0,32
2001,0.0857,35
2002,0.0968,31
2004,0.027,37
2005,0.0411,73
2006,0.0357,56
2008,0.0357,56
2009,0.0851,47
