date,ordinality,count
1963,0.1938,40
1964,0.25,32
1965,0.2782,49
1966,0.2442,43
1967,0.3197,42
1968,0.3514,46
1969,0.3182,44
1970,0.3878,49
1971,0.3409,66
1972,0.3365,53
1973,0.2786,70
1974,0.295,74
1975,0.2527,93
1976,0.2525,68
1977,0.2378,96
1978,0.3204,102
1979,0.3811,82
1980,0.249,84
1981,0.2465,86
1982,0.3178,113
1983,0.1751,119
1984,0.2131,106
1985,0.2125,80
1986,0.1467,50
1987,0.2693,94
1988,0.2231,144
1989,0.2125,91
1990,0.1364,55
1991,0.3023,43
1992,0.1961,51
1993,0.2733,75
1994,0.2378,123
1995,0.2017,100
1996,0.155,86
1998,0.3088,68
2006,0.2742,31
