date,ordinality,count
1844,0.3387,31
1846,0.4474,38
1847,0.3077,52
1848,0.375,44
1849,0.381,42
1850,0.3721,43
1851,0.4167,48
1852,0.3185,56
1853,0.3151,56
1854,0.2946,56
1855,0.2881,59
1856,0.4107,56
1857,0.2642,53
1859,0.2,45
1860,0.3314,44
1861,0.4844,32
1864,0.4444,33
1870,0.6154,39
1872,0.5,32
1875,0.5152,33
1880,0.399,33
1896,0.3333,31
1899,0.455,50
1900,0.5319,36
1901,0.4355,31
1902,0.5323,31
1910,0.4429,35
1967,0.4255,47
1968,0.35,40
1969,0.3673,49
1970,0.4884,43
1971,0.3636,33
1972,0.3125,40
1973,0.3968,42
1974,0.3182,33
1983,0.303,33
