date,ordinality,count
1969,0.7205,36
1972,0.7243,35
1973,0.5021,36
1974,0.5973,35
1975,0.6789,34
1976,0.6094,38
1977,0.6524,40
1978,0.6703,31
1979,0.7802,33
1980,0.6037,41
1981,0.6496,45
1982,0.6407,63
1983,0.6069,59
1984,0.7078,43
1985,0.6466,52
1986,0.5435,36
1987,0.6185,45
1988,0.728,78
1989,0.6667,50
1992,0.8021,32
1993,0.6924,65
1994,0.5755,59
1995,0.5853,76
1996,0.6604,53
1997,0.4658,51
1998,0.6794,50
2005,0.6132,63
2006,0.5553,47
2008,0.6492,56
2009,0.6522,52
