date,ordinality,count
1947,0.9677,31
1948,0.9535,43
1949,0.8458,40
1950,0.8286,35
1952,0.8182,33
1955,0.8049,41
1956,0.8333,40
1957,0.8372,43
1958,0.8485,44
1959,0.7597,43
1960,0.82,50
1961,0.8846,52
1962,0.9286,42
1963,0.7917,48
1964,0.8519,51
1965,0.8783,53
1966,0.8519,54
1967,0.8921,61
1968,0.9184,49
1969,0.8308,65
1970,0.8494,52
1971,0.9072,79
1972,0.9054,74
1973,0.9312,69
1974,0.897,82
1975,0.9143,70
1976,0.9136,81
1977,0.8851,124
1978,0.8462,130
1979,0.9249,111
1980,0.882,113
1981,0.9206,107
1982,0.8639,119
1983,0.9413,109
1984,0.915,100
1985,0.9307,89
1986,0.9103,117
1987,0.8814,111
1988,0.8995,126
1989,0.8986,111
1990,0.9185,92
1991,0.8895,86
1992,0.8986,92
1993,0.8786,103
1994,0.8593,127
1995,0.8073,147
1996,0.8868,127
1997,0.806,100
1998,0.9104,106
1999,0.8899,92
2000,0.8698,63
2001,0.8427,62
2002,0.9462,62
2003,0.8843,72
2004,0.9118,68
2005,0.9,70
2006,0.9787,74
2007,0.8667,45
2008,0.8677,63
2009,0.8191,47
