date,ordinality,count
1972,0.7059,34
1974,0.8537,41
1975,0.6899,43
1976,0.8,40
1977,0.8085,47
1978,0.7131,61
1979,0.8615,39
1980,0.8261,46
1981,0.75,58
1982,0.803,55
1983,0.7817,71
1984,0.7738,63
1985,0.7632,38
1986,0.6222,45
1987,0.8175,63
1988,0.725,80
1989,0.7945,73
1990,0.6792,53
1991,0.746,63
1992,0.6845,56
1993,0.7143,91
1994,0.7455,130
1995,0.8016,129
1996,0.7646,114
1997,0.75,94
1998,0.7658,79
1999,0.7281,57
2000,0.7292,53
2001,0.7529,41
2002,0.8066,53
2003,0.7179,65
2004,0.7552,64
2005,0.7362,94
2006,0.5924,92
2007,0.7111,45
2008,0.7107,70
2009,0.719,56
2010,0.6471,34
