date,ordinality,count
1900,0.8438,32
1903,0.9714,35
1906,0.875,32
1908,0.7812,32
1909,0.8922,34
1910,0.9286,35
1911,0.8529,42
1913,0.9316,39
1914,0.837,46
1915,0.8977,44
1916,0.8676,34
1917,0.875,32
1918,0.7965,32
1919,0.7955,44
1920,0.9388,49
1921,0.8636,33
1922,0.8724,52
1939,0.9429,35
1949,0.8636,33
1950,0.8387,31
1952,0.8847,35
1955,0.945,37
1956,0.8226,31
1957,0.8108,37
1960,0.7895,38
1961,0.8387,31
1962,0.9032,31
1963,0.7073,41
1964,0.7125,40
1965,0.775,40
1966,0.7317,41
1967,0.7847,45
1968,0.8415,41
1969,0.7917,48
1970,0.8889,45
1971,0.675,40
1972,0.8163,49
1973,0.6778,45
1974,0.7222,36
1975,0.8452,42
1976,0.7549,51
1977,0.7974,51
1978,0.7895,57
1979,0.7915,48
1980,0.8939,33
1981,0.8148,54
1982,0.7826,46
1983,0.8205,39
1984,0.8235,34
1986,0.8158,38
1987,0.7907,43
1988,0.7692,52
1989,0.8409,44
1991,0.8684,38
1992,0.814,43
1993,0.8,40
1994,0.7321,56
1995,0.7841,44
1996,0.7742,31
1998,0.6613,31
1999,0.8514,37
2005,0.7008,37
