date,ordinality,count
1960,0.0,42
1961,0.0,50
1962,0.0,37
1963,0.0,61
1964,0.0,41
1965,0.0183,41
1966,0.0,55
1967,0.0,73
1968,0.0,65
1969,0.0,55
1970,0.0,58
1971,0.0,76
1972,0.0,79
1973,0.0,70
1974,0.0,97
1975,0.0,68
1976,0.0,57
1977,0.0,85
1978,0.0,66
1979,0.0,84
1980,0.0,60
1981,0.0,87
1982,0.0105,95
1983,0.0,91
1984,0.0,57
1985,0.0,55
1986,0.0,54
1987,0.0,85
1988,0.0,122
1989,0.0,82
1990,0.0,36
1991,0.0,45
1992,0.0,35
1993,0.0,69
1994,0.0,103
1995,0.0,94
1996,0.0,71
1997,0.0,64
1998,0.0,70
2004,0.0,32
2005,0.0,72
2006,0.0,65
