date,ordinality,count
1875,1.0,32
1878,0.9118,34
1882,1.0,34
1883,1.0,39
1887,1.0,41
1888,1.0,37
1889,1.0,43
1890,0.9444,36
1891,0.973,37
1892,0.9688,32
1893,0.9535,43
1895,1.0,48
1896,0.975,40
1897,1.0,33
1898,0.9535,43
1899,1.0,44
1900,0.9886,44
1901,0.8571,42
1902,0.98,50
1903,0.9811,53
1904,0.9565,46
1905,0.9111,45
1906,0.9783,46
1907,0.9714,35
1908,0.9167,60
1909,0.9345,47
1910,0.9423,52
1911,0.9531,64
1912,0.8873,55
1913,0.9365,63
1914,0.8525,61
1915,0.9423,52
1916,0.95,60
1917,0.9623,53
1918,0.9091,33
1919,0.9425,46
1920,0.9429,70
1921,0.9434,53
1922,0.9227,69
1923,0.9857,35
1925,0.9714,35
1926,0.9512,41
1927,0.9429,35
1928,0.8846,52
1929,0.9737,38
1930,1.0,40
1931,0.9444,36
1932,1.0,44
1933,1.0,47
1934,0.9559,34
1936,0.9206,42
1937,0.9149,47
1938,0.9318,44
1939,1.0,42
1940,0.9079,38
1941,0.8455,55
1942,0.9744,39
1943,1.0,37
1944,0.9419,43
1945,0.8571,42
1946,0.9,45
1947,0.9333,60
1948,1.0,49
1949,0.8909,55
1950,0.9178,73
1951,0.9831,59
1952,0.9565,69
1953,0.9549,61
1954,0.9554,56
1955,0.9231,78
1956,0.878,56
1957,0.9467,75
1958,0.9194,62
1959,0.9635,96
1960,0.9345,112
1961,0.9091,110
1962,0.9333,105
1963,0.9752,121
1964,0.9626,107
1965,0.9153,124
1966,0.9349,146
1967,0.9381,113
1968,0.9599,137
1969,0.972,143
1970,0.9375,168
1971,0.9545,152
1972,0.9891,183
1973,0.9274,150
1974,0.9327,171
1975,0.9379,177
1976,0.9434,156
1977,0.9535,213
1978,0.9577,207
1979,0.9505,202
1980,0.952,229
1981,0.9491,213
1982,0.9602,181
1983,0.9628,217
1984,0.9797,197
1985,0.9608,166
1986,0.9692,167
1987,0.9452,228
1988,0.9357,241
1989,0.95,220
1990,0.9444,144
1991,0.9482,164
1992,0.96,200
1993,0.9327,208
1994,0.9661,246
1995,0.9403,243
1996,0.9456,206
1997,0.9498,176
1998,0.9421,190
1999,0.9371,159
2000,0.9403,111
2001,0.9412,119
2002,0.9896,128
2003,0.9925,133
2004,0.9836,122
2005,0.9656,160
2006,0.9422,150
2007,0.9728,98
2008,0.9697,101
2009,0.9635,96
2010,0.9889,45
