date,ordinality,count
1846,0.2591,31
1849,0.2843,34
1850,0.2464,69
1851,0.2853,39
1852,0.35,60
1853,0.3379,55
1854,0.1853,64
1855,0.3358,53
1856,0.3333,89
1857,0.3427,67
1858,0.3102,45
1859,0.2546,54
1860,0.28,89
1861,0.3511,75
1862,0.2174,46
1863,0.303,44
1864,0.2223,62
1865,0.2953,33
1866,0.222,69
1867,0.459,51
1868,0.3904,52
1869,0.3877,46
1870,0.2333,45
1871,0.357,31
1872,0.2124,51
1873,0.25,44
1875,0.24,50
1876,0.2806,60
1877,0.3157,55
1878,0.3877,60
1879,0.3253,62
1880,0.3776,75
1881,0.325,78
1882,0.2952,59
1883,0.3338,66
1884,0.405,83
1885,0.366,67
1886,0.3693,67
1887,0.4676,71
1888,0.4087,97
1889,0.3606,83
1890,0.3723,77
1891,0.2017,77
1892,0.4332,68
1893,0.3037,72
1894,0.3369,70
1895,0.274,91
1896,0.2431,115
1897,0.3296,90
1898,0.3328,106
1899,0.2857,105
1900,0.2795,110
1901,0.3096,96
1902,0.2704,105
1903,0.309,117
1904,0.2922,128
1905,0.2361,121
1906,0.2813,118
1907,0.281,119
1908,0.2664,99
1909,0.3211,108
1910,0.2818,135
1911,0.2552,95
1912,0.2918,120
1913,0.4029,110
1914,0.3255,145
1915,0.2888,130
1916,0.356,120
1917,0.2734,96
1918,0.333,101
1919,0.4317,113
1920,0.2893,99
1921,0.2753,108
1922,0.2671,117
1923,0.2379,65
1924,0.2424,72
1925,0.2761,65
1926,0.2926,86
1927,0.2884,82
1928,0.3521,95
1929,0.2958,87
1930,0.2917,73
1931,0.2862,73
1932,0.1726,80
1933,0.3539,73
1934,0.3624,63
1935,0.2115,78
1936,0.3268,92
1937,0.2874,103
1938,0.2826,87
1939,0.3823,113
1940,0.2549,86
1941,0.3063,93
1942,0.4208,86
1943,0.3176,77
1944,0.3408,67
1945,0.275,58
1946,0.3273,64
1947,0.2545,81
1948,0.3065,66
1949,0.336,97
1950,0.2932,91
1951,0.3673,74
1952,0.3139,83
1953,0.3335,86
1954,0.3817,83
1955,0.2448,90
1956,0.3992,81
1957,0.2825,101
1958,0.2792,81
1959,0.2875,84
1960,0.3232,88
1961,0.3556,85
1962,0.4099,124
1963,0.3243,120
1964,0.3268,109
1965,0.3246,115
1966,0.2854,131
1967,0.3001,122
1968,0.328,153
1969,0.3139,183
1970,0.3197,142
1971,0.3463,135
1972,0.3119,148
1973,0.3016,144
1974,0.3024,126
1975,0.2992,131
1976,0.331,90
1977,0.2531,143
1978,0.3048,136
1979,0.2636,126
1980,0.318,109
1981,0.3823,151
1982,0.3667,119
1983,0.3178,123
1984,0.3199,104
1985,0.2671,77
1986,0.3964,80
1987,0.3674,93
1988,0.3523,108
1989,0.2874,97
1990,0.3093,54
1991,0.2394,55
1992,0.3565,54
1993,0.4223,66
1994,0.454,106
1995,0.3928,104
1996,0.3214,92
1997,0.2764,82
1998,0.2819,94
1999,0.2865,67
2000,0.3744,45
2001,0.4221,73
2002,0.3562,51
2003,0.2764,41
2004,0.4737,57
2005,0.3877,77
2006,0.4352,93
2007,0.3275,43
2008,0.5201,58
2009,0.3355,46
