date,ordinality,count
1939,0.2258,31
1949,0.2849,31
1956,0.3971,34
1958,0.4868,38
1959,0.46,50
1960,0.3876,43
1961,0.3977,44
1962,0.359,52
1963,0.5262,61
1964,0.52,75
1965,0.3741,79
1966,0.375,92
1967,0.4889,72
1968,0.3646,80
1969,0.4738,70
1970,0.4573,78
1971,0.3563,50
1972,0.4089,75
1973,0.431,58
1974,0.5943,53
1975,0.6,45
1976,0.4896,32
1977,0.5,36
1978,0.3333,43
1979,0.3462,39
1980,0.5946,37
1981,0.4,40
1982,0.2549,34
1984,0.4472,41
1987,0.375,40
1988,0.4531,32
1989,0.6613,31
1993,0.3182,33
1994,0.46,50
1995,0.3509,57
1996,0.5125,40
