date,ordinality,count
1968,0.0,33
1970,0.0,31
1971,0.0938,32
1972,0.0,34
1973,0.0714,42
1974,0.0,40
1975,0.0,33
1977,0.0,41
1978,0.0303,33
1979,0.0278,36
1980,0.0811,37
1981,0.0444,45
1982,0.0208,48
1983,0.0,44
1984,0.0192,52
1985,0.0,35
1986,0.0,36
1987,0.0,40
1988,0.0,63
1989,0.0196,51
1991,0.0625,32
1993,0.0,57
1994,0.0241,83
1995,0.0,82
1996,0.0303,66
1997,0.0,35
1998,0.0233,43
2002,0.0233,43
2003,0.0244,41
2004,0.0312,32
2005,0.025,40
2006,0.0238,42
2009,0.0,35
