date,ordinality,count
1939,0.3722,36
1940,0.4688,32
1941,0.6412,36
1942,0.5665,37
1943,0.4683,49
1946,0.465,43
1947,0.6389,38
1948,0.5155,43
1949,0.6098,49
1951,0.5701,44
1952,0.4316,38
1953,0.4425,31
1955,0.4771,46
1957,0.5152,33
1958,0.4651,43
1959,0.5051,33
1960,0.4574,46
1961,0.5,34
1962,0.6387,47
1963,0.5124,51
1964,0.3963,35
1965,0.4361,39
1966,0.4857,35
1967,0.4877,45
1968,0.4737,33
1969,0.4861,39
1970,0.5528,41
1971,0.6111,36
1972,0.5464,39
1973,0.4253,75
1974,0.4667,60
1975,0.4922,57
1976,0.549,49
1977,0.4045,48
1978,0.5052,60
1979,0.4334,73
1980,0.463,54
1981,0.4277,53
1982,0.5463,54
1983,0.3364,65
1984,0.4686,68
1985,0.401,62
1986,0.4426,66
1987,0.441,72
1988,0.4381,73
1989,0.4836,76
1990,0.3836,75
1991,0.3993,74
1992,0.4024,42
1993,0.4271,72
1994,0.4713,82
1995,0.4467,65
1996,0.4802,70
1997,0.4895,51
1998,0.4097,62
1999,0.4671,60
2000,0.3818,39
2001,0.5357,32
2002,0.2917,32
2004,0.5,32
2005,0.5883,31
2006,0.4612,43
2008,0.6263,33
