date,ordinality,count
1963,0.6471,34
1964,0.6765,51
1965,0.6282,39
1966,0.7,40
1967,0.6932,44
1968,0.6327,49
1969,0.7054,56
1970,0.7,40
1971,0.6885,61
1972,0.7111,45
1973,0.6298,52
1974,0.7308,52
1975,0.5741,54
1976,0.6562,48
1977,0.6803,61
1978,0.6183,62
1979,0.6429,56
1980,0.7,45
1981,0.7951,48
1982,0.621,62
1983,0.6154,52
1984,0.7133,75
1985,0.6667,44
1986,0.7358,53
1987,0.7636,55
1988,0.6804,85
1989,0.6048,62
1990,0.5341,44
1991,0.6585,41
1992,0.6271,59
1993,0.7593,81
1994,0.6495,107
1995,0.6865,101
1996,0.6341,87
1997,0.73,50
1998,0.6642,67
2000,0.7424,33
2001,0.7674,43
2002,0.6667,45
2003,0.7812,32
2004,0.67,50
2005,0.6911,82
2006,0.6377,69
2008,0.7206,68
2009,0.62,50
