date,ordinality,count
1876,0.9697,33
1880,1.0,33
1881,1.0,32
1882,0.9459,37
1883,1.0,31
1884,1.0,51
1886,1.0,37
1887,0.9762,42
1888,1.0,50
1889,1.0,41
1890,1.0,48
1891,1.0,32
1892,1.0,38
1893,0.9875,40
1895,0.9762,42
1896,1.0,32
1898,1.0,39
1899,1.0,39
1901,1.0,32
1902,0.9189,37
1903,1.0,38
1905,0.9688,32
1906,1.0,40
1907,0.95,40
1908,0.9524,42
1910,0.8889,36
1911,1.0,43
1912,1.0,35
1913,1.0,38
1914,0.9744,39
1920,0.9706,34
1922,1.0,32
1970,0.9429,35
1975,0.9375,32
1977,0.9118,34
