date,ordinality,count
1899,0.1951,41
1900,0.3056,36
1902,0.3333,39
1903,0.2917,48
1904,0.3182,44
1905,0.1875,48
1906,0.3333,54
1907,0.1702,47
1908,0.2041,49
1909,0.2128,47
1910,0.2093,43
1911,0.2,65
1912,0.1481,54
1913,0.1867,75
1914,0.1579,57
1915,0.2424,66
1916,0.1429,63
1917,0.1467,75
1918,0.1642,67
1919,0.1842,76
1920,0.1294,85
1921,0.1447,76
1922,0.0857,70
1923,0.0588,51
1924,0.102,49
1925,0.2453,53
1926,0.1356,59
1927,0.0541,37
1928,0.1333,60
1929,0.1698,53
1930,0.1569,51
1931,0.1169,77
1932,0.1176,51
1933,0.1579,38
1934,0.1481,54
1935,0.0746,67
1936,0.0794,63
1937,0.0517,58
1938,0.0588,51
1939,0.1139,79
1940,0.0556,90
1941,0.033,91
1942,0.0429,70
1943,0.1159,69
1944,0.0753,93
1945,0.0488,82
1946,0.08,100
1947,0.0505,99
1948,0.0606,132
1949,0.0608,148
1950,0.1121,107
1951,0.0485,103
1952,0.129,93
1953,0.0571,105
1954,0.0853,129
1955,0.0698,129
1956,0.0733,150
1957,0.0727,110
1958,0.0667,135
1959,0.1231,130
1960,0.0888,169
1961,0.0922,141
1962,0.0745,161
1963,0.0872,149
1964,0.1234,154
1965,0.0719,139
1966,0.1558,154
1967,0.0909,165
1968,0.0938,160
1969,0.0943,159
1970,0.1395,172
1971,0.1288,163
1972,0.097,165
1973,0.0958,167
1974,0.071,155
1975,0.0828,169
1976,0.3891,239
1977,0.1128,266
1978,0.0897,312
1979,0.1336,277
1980,0.0846,272
1981,0.0594,303
1982,0.3588,340
1983,0.455,422
1984,0.48,475
1985,0.0898,256
1986,0.2957,230
1987,0.0903,277
1988,0.0916,262
1989,0.0942,223
1990,0.0929,140
1991,0.0549,164
1992,0.1437,160
1993,0.0928,388
1994,0.1111,423
1995,0.0933,300
1996,0.1579,190
1997,0.0842,190
1998,0.1782,174
1999,0.0677,133
2000,0.0706,85
2001,0.0825,97
2002,0.5707,205
2003,0.1039,77
2004,0.1316,76
2005,0.1711,152
2006,0.1716,134
2007,0.1324,68
2008,0.2037,108
2009,0.1644,73
