date,ordinality,count
1880,0.1512,41
1881,0.1239,39
1882,0.122,41
1883,0.1371,79
1884,0.188,72
1885,0.2544,57
1886,0.2028,60
1887,0.1729,67
1888,0.24,50
1889,0.2294,89
1890,0.2572,58
1891,0.209,67
1892,0.5013,66
1893,0.2891,64
1894,0.283,53
1895,0.2828,62
1896,0.2531,64
1897,0.2291,74
1898,0.2736,58
1899,0.2013,89
1900,0.1945,82
1901,0.2442,80
1902,0.2294,97
1903,0.3587,85
1904,0.2818,89
1905,0.2466,73
1906,0.2661,93
1907,0.1479,80
1908,0.1929,73
1909,0.2004,90
1910,0.2292,89
1911,0.1919,97
1912,0.1474,121
1913,0.1235,129
1914,0.1695,99
1915,0.1098,102
1916,0.1602,103
1917,0.2022,89
1918,0.1461,81
1919,0.2197,66
1920,0.2193,95
1921,0.1974,84
1922,0.1957,104
1923,0.121,62
1924,0.197,77
1925,0.1653,62
1926,0.1966,70
1927,0.2027,72
1928,0.2204,90
1929,0.2634,93
1930,0.2396,85
1931,0.1983,66
1932,0.2019,72
1933,0.2002,53
1934,0.2152,67
1935,0.2147,83
1936,0.1751,76
1937,0.1678,76
1938,0.125,64
1939,0.2246,94
1940,0.0928,92
1941,0.1424,79
1942,0.1667,48
1943,0.157,43
1944,0.1818,61
1945,0.2264,53
1946,0.168,92
1947,0.2605,87
1948,0.1224,98
1949,0.1804,109
1950,0.2225,97
1951,0.0821,101
1952,0.1381,102
1953,0.2012,107
1954,0.2456,89
1955,0.2339,98
1956,0.3064,139
1957,0.1485,133
1958,0.1607,135
1959,0.1705,131
1960,0.2047,152
1961,0.1956,185
1962,0.2066,228
1963,0.162,194
1964,0.2112,202
1965,0.1928,246
1966,0.2023,278
1967,0.1535,282
1968,0.1965,284
1969,0.2088,292
1970,0.2168,297
1971,0.2585,305
1972,0.1919,318
1973,0.1974,378
1974,0.1893,301
1975,0.1877,293
1976,0.1816,207
1977,0.1997,311
1978,0.2115,293
1979,0.189,276
1980,0.1941,258
1981,0.1885,293
1982,0.187,301
1983,0.2167,309
1984,0.1878,289
1985,0.1646,240
1986,0.1905,230
1987,0.1647,310
1988,0.169,412
1989,0.1682,338
1990,0.174,225
1991,0.1919,244
1992,0.1968,284
1993,0.1892,468
1994,0.1808,588
1995,0.1527,501
1996,0.1523,439
1997,0.172,315
1998,0.1492,370
1999,0.1884,206
2000,0.1476,180
2001,0.1553,218
2002,0.1799,235
2003,0.2231,209
2004,0.1496,250
2005,0.1933,431
2006,0.126,358
2007,0.1795,192
2008,0.1765,310
2009,0.1696,216
2010,0.1612,69
