date,ordinality,count
1963,0.7098,37
1964,0.7097,31
1965,0.5833,38
1966,0.5968,31
1967,0.5253,33
1968,0.6081,37
1969,0.7108,34
1970,0.4204,35
1971,0.651,32
1972,0.55,40
1974,0.55,40
1975,0.5347,36
1977,0.7083,40
1978,0.7667,45
1979,0.6241,47
1980,0.6064,47
1981,0.6667,37
1982,0.6455,55
1983,0.5652,46
1984,0.6221,43
1985,0.6492,43
1986,0.4475,34
1987,0.5562,53
1988,0.6271,59
1989,0.7303,55
1990,0.5458,32
1991,0.5206,51
1992,0.7262,35
1993,0.6027,53
1994,0.647,72
1995,0.5733,75
1996,0.4117,67
1997,0.635,50
1998,0.5417,52
1999,0.6129,31
2004,0.5476,35
2005,0.6429,42
2006,0.6011,46
