date,ordinality,count
1812,0.7812,32
1813,0.8971,34
1820,0.9125,40
1822,0.902,34
1823,0.8472,36
1824,0.9386,57
1825,0.9333,35
1827,0.9697,33
1828,0.7065,46
1829,0.7416,57
1830,0.8947,57
1831,0.8015,68
1832,0.8,60
1833,0.7935,67
1834,0.7661,62
1835,0.8695,83
1836,0.8735,83
1837,0.9008,84
1838,0.8773,75
1839,0.8609,109
1840,0.8321,70
1841,0.7436,81
1842,0.8275,69
1843,0.8946,87
1844,0.9074,108
1845,0.8847,124
1846,0.8592,114
1847,0.832,121
1848,0.8392,123
1849,0.8098,122
1850,0.8173,159
1851,0.7796,124
1852,0.8326,141
1853,0.8016,211
1854,0.8038,175
1855,0.7608,167
1856,0.8432,196
1857,0.8681,168
1858,0.8431,102
1859,0.8292,215
1860,0.8535,183
1861,0.8585,106
1862,0.8333,83
1863,0.8305,107
1864,0.7846,115
1865,0.8336,122
1866,0.8858,154
1867,0.8452,144
1868,0.7724,140
1869,0.8014,192
1870,0.8198,148
1871,0.7919,173
1872,0.8067,149
1873,0.8316,152
1874,0.8444,151
1875,0.9098,176
1876,0.8072,138
1877,0.7842,120
1878,0.8012,166
1879,0.7893,184
1880,0.7972,204
1881,0.8669,175
1882,0.7977,206
1883,0.7985,220
1884,0.8149,178
1885,0.7613,168
1886,0.838,179
1887,0.8357,212
1888,0.7657,178
1889,0.7873,294
1890,0.8353,208
1891,0.8437,235
1892,0.7742,236
1893,0.76,216
1894,0.7681,216
1895,0.8258,255
1896,0.8024,241
1897,0.798,255
1898,0.8202,234
1899,0.8152,398
1900,0.8622,323
1901,0.8477,314
1902,0.7879,255
1903,0.8049,252
1904,0.8203,225
1905,0.8102,220
1906,0.7789,265
1907,0.7927,255
1908,0.8437,276
1909,0.7797,292
1910,0.7868,266
1911,0.8213,242
1912,0.8205,248
1913,0.8341,227
1914,0.8729,203
1915,0.7909,183
1916,0.8287,166
1917,0.7808,170
1918,0.8201,151
1919,0.8362,174
1920,0.8363,205
1921,0.8375,160
1922,0.8472,186
1923,0.7891,132
1924,0.8667,105
1925,0.8006,116
1926,0.8631,116
1927,0.8457,122
1928,0.8522,115
1929,0.8333,126
1930,0.8609,133
1931,0.8419,133
1932,0.8923,130
1933,0.878,97
1934,0.8843,105
1935,0.8771,118
1936,0.8093,104
1937,0.8905,102
1938,0.8586,99
1939,0.8895,95
1940,0.8298,94
1941,0.8625,80
1942,0.7984,62
1943,0.7821,65
1944,0.817,51
1945,0.7391,69
1946,0.8922,102
1947,0.8545,118
1948,0.822,118
1949,0.8063,108
1950,0.8185,140
1951,0.9429,108
1952,0.8335,134
1953,0.7917,108
1954,0.7867,118
1955,0.7844,109
1956,0.8621,116
1957,0.8277,117
1958,0.8439,157
1959,0.8049,123
1960,0.7588,161
1961,0.8383,179
1962,0.8397,184
1963,0.8164,201
1964,0.8336,171
1965,0.8033,210
1966,0.7907,219
1967,0.8467,227
1968,0.7873,235
1969,0.845,272
1970,0.8155,258
1971,0.8109,208
1972,0.8254,209
1973,0.8026,214
1974,0.8333,183
1975,0.8034,145
1976,0.8519,135
1977,0.8325,142
1978,0.8454,163
1979,0.7933,150
1980,0.8427,133
1981,0.7831,146
1982,0.8449,159
1983,0.7975,163
1984,0.877,126
1985,0.8,130
1986,0.8279,122
1987,0.8563,174
1988,0.8663,188
1989,0.8576,151
1990,0.8103,112
1991,0.8822,75
1992,0.7481,90
1993,0.8,185
1994,0.8087,203
1995,0.8342,197
1996,0.7879,121
1997,0.8543,132
1998,0.8205,130
1999,0.8104,80
2000,0.7867,75
2001,0.6719,64
2002,0.797,78
2003,0.7849,86
2004,0.8143,98
2005,0.8133,158
2006,0.7667,120
2007,0.8529,68
2008,0.8345,117
2009,0.8056,96
