date,ordinality,count
1846,0.4848,33
1847,0.3171,41
1850,0.3077,39
1857,0.4375,48
1858,0.3095,42
1859,0.4333,60
1860,0.5098,51
1864,0.3056,36
1866,0.2927,41
1867,0.3333,30
1868,0.4231,52
1869,0.4565,46
1870,0.537,54
1871,0.5405,37
1872,0.5227,44
1873,0.38,50
1874,0.3939,33
1875,0.4242,33
1876,0.4706,34
1877,0.5455,33
1878,0.4211,38
1879,0.3261,46
1880,0.4898,49
1881,0.5,36
1882,0.4737,38
1883,0.5435,46
1884,0.4423,52
1885,0.4259,54
1886,0.3864,44
1887,0.4348,46
1888,0.4348,46
1889,0.3778,45
1890,0.4314,51
1891,0.28,50
1892,0.4091,44
1893,0.6531,49
1894,0.4348,46
1895,0.3286,70
1896,0.3721,43
1897,0.3725,51
1898,0.5158,95
1899,0.3934,61
1900,0.4775,111
1901,0.5323,62
1902,0.5429,70
1903,0.4638,69
1904,0.4576,59
1905,0.5833,60
1906,0.6429,70
1907,0.4026,77
1908,0.4737,95
1909,0.377,61
1910,0.4386,57
1911,0.3667,90
1912,0.4366,71
1913,0.5385,65
1914,0.4902,51
1915,0.5818,55
1916,0.5733,75
1917,0.4468,47
1919,0.4259,54
1920,0.4865,74
1921,0.551,49
1922,0.5714,49
1923,0.6316,57
1925,0.5938,32
1926,0.6129,31
1929,0.6327,49
1930,0.4853,68
1931,0.6038,53
1932,0.5938,32
1933,0.5161,31
1934,0.4189,74
1935,0.4848,33
1936,0.5952,42
1938,0.6,35
1939,0.4884,43
1940,0.6029,68
1942,0.661,59
1943,0.6122,49
1946,0.5294,34
1947,0.625,48
1948,0.6383,47
1949,0.6226,53
1950,0.597,67
1951,0.6216,37
1952,0.5893,56
1953,0.5918,49
1954,0.5833,36
1955,0.5902,61
1956,0.5091,55
1957,0.5833,48
1958,0.6441,59
1959,0.6,70
1960,0.6623,77
1961,0.4022,92
1962,0.6707,82
1963,0.5294,68
1964,0.6047,86
1965,0.6417,120
1966,0.5843,89
1967,0.5664,113
1968,0.6147,109
1969,0.5238,84
1970,0.6517,89
1971,0.5859,99
1972,0.7294,85
1973,0.7795,127
1974,0.6667,129
1975,0.5329,167
1976,0.5299,117
1977,0.5767,163
1978,0.5966,176
1979,0.6281,121
1980,0.5839,137
1981,0.6685,184
1982,0.5221,226
1983,0.6195,205
1984,0.6592,179
1985,0.5764,144
1986,0.5066,152
1987,0.645,169
1988,0.6041,197
1989,0.4541,185
1990,0.5135,111
1991,0.6102,59
1992,0.5882,119
1993,0.5497,302
1994,0.6313,434
1995,0.5082,364
1996,0.5337,208
1997,0.5841,113
1998,0.5632,174
1999,0.6606,109
2000,0.459,61
2001,0.5625,64
2002,0.6271,59
2003,0.5833,60
2004,0.5753,73
2005,0.631,84
2006,0.505,101
2007,0.6133,75
2008,0.4857,70
2009,0.5,52
