date,ordinality,count
1852,0.9672,61
1859,0.8519,54
1860,0.9355,31
1861,0.5814,43
1862,0.8627,51
1865,0.6034,58
1866,0.8052,77
1867,0.5926,54
1868,0.5472,53
1869,0.9294,85
1870,0.9231,52
1871,0.907,86
1872,0.9697,99
1873,0.9474,57
1874,0.9709,103
1875,0.7333,60
1876,0.7959,49
1877,0.6821,151
1878,0.6066,183
1879,0.8361,299
1880,0.7377,122
1881,0.6726,113
1882,0.4479,96
1883,0.6122,98
1884,0.8664,262
1885,0.9549,133
1886,0.896,173
1887,0.8794,141
1888,0.9593,172
1889,0.96,200
1890,0.9275,276
1891,0.801,201
1892,0.8168,273
1893,0.935,431
1894,0.9874,556
1895,0.9646,396
1896,0.9527,338
1897,0.9422,294
1898,0.9185,270
1899,0.9623,424
1900,0.911,427
1901,0.9532,406
1902,0.9182,330
1903,0.96,450
1904,0.9008,262
1905,0.9424,243
1906,0.9685,349
1907,0.931,348
1908,0.9076,433
1909,0.98,250
1910,0.9181,354
1911,0.9322,354
1912,0.9546,441
1913,0.9651,430
1914,0.8833,540
1915,0.9391,361
1916,0.8977,264
1917,0.9235,523
1918,0.8696,230
1919,0.8976,293
1920,0.92,300
1921,0.9557,361
1922,0.9254,523
1923,0.9833,120
1924,0.9375,192
1925,0.9541,196
1926,0.9765,170
1927,0.9719,178
1928,0.9868,228
1929,0.9188,197
1930,0.9091,176
1931,0.9618,157
1932,0.9556,135
1933,0.9521,167
1934,0.8415,82
1935,0.9739,115
1936,0.9682,157
1937,0.9697,132
1938,0.9516,186
1939,0.9041,146
1940,0.9643,112
1941,0.8791,91
1942,0.9431,123
1943,0.9388,49
1944,0.9483,58
1945,0.7838,37
1946,0.9333,75
1947,0.8519,81
1948,0.8738,103
1949,0.8889,108
1950,0.9722,72
1951,0.9,80
1952,0.9294,85
1953,0.8454,97
1954,0.9417,103
1955,0.8795,83
1956,0.9176,85
1957,0.9333,60
1958,0.913,69
1959,0.9511,225
1960,0.878,82
1961,0.9342,76
1962,0.9103,78
1963,0.8352,91
1964,0.8646,96
1965,0.7895,76
1966,0.748,127
1967,0.8205,78
1968,0.9426,122
1969,0.6292,89
1970,0.6458,96
1971,0.7739,115
1972,0.623,183
1973,0.8783,115
1974,0.791,67
1975,0.8,80
1976,0.7338,139
1977,0.8571,91
1978,0.6506,83
1979,0.7528,89
1980,0.4297,128
1981,0.7113,142
1982,0.697,66
1983,0.8608,79
1984,0.8256,86
1985,0.6792,106
1986,0.403,67
1987,0.5031,159
1988,0.4123,211
1989,0.4167,120
1990,0.6628,86
1991,0.6,60
1992,0.5493,71
1993,0.7838,74
1994,0.5426,317
1995,0.6992,133
1996,0.8876,89
1997,0.6486,74
1998,0.4,85
1999,0.8,75
2000,0.8043,46
2003,0.0986,71
2004,0.7609,46
2005,0.8605,43
2008,0.3448,58
