date,ordinality,count
1842,0.5667,30
1844,0.75,32
1845,0.7273,33
1846,0.7805,41
1847,0.625,40
1848,0.7143,35
1849,0.614,57
1850,0.6286,35
1851,0.8302,53
1852,0.8571,42
1853,0.7966,59
1854,0.8161,87
1855,0.7736,53
1856,0.7234,47
1857,0.7391,46
1858,0.6944,36
1859,0.7302,63
1860,0.7308,52
1863,0.9643,56
1864,0.7949,39
1865,0.8649,37
1866,0.8333,48
1867,0.8085,47
1868,0.8958,48
1869,0.8551,69
1870,0.9298,57
1871,0.9024,41
1872,0.8095,63
1873,0.9268,41
1874,0.7414,58
1875,0.7708,48
1876,0.9412,51
1877,0.9302,43
1878,0.875,32
1879,0.7111,45
1880,0.8235,68
1881,0.8085,47
1882,0.7857,56
1883,0.7358,53
1884,0.7895,57
1885,0.8824,51
1886,0.8846,52
1887,0.7736,53
1888,0.7959,49
1889,0.8052,77
1890,0.8,55
1891,0.8627,51
1892,0.7541,61
1893,0.7674,43
1894,0.7907,43
1895,0.9111,45
1896,0.8039,51
1897,0.8333,42
1898,0.7414,58
1899,0.7807,114
1900,0.9062,96
1901,0.7759,58
1902,0.9286,56
1903,0.825,40
1904,0.8235,51
1905,0.9167,60
1906,0.807,57
1907,0.7857,56
1908,0.7636,55
1909,0.7671,73
1910,0.75,60
1911,0.7115,52
1912,0.7073,41
1913,0.875,40
1914,0.8364,55
1915,0.875,48
1916,0.8571,49
1917,0.9412,34
1919,0.8049,41
1920,0.881,42
1921,0.8864,44
1922,0.9348,46
1923,0.8788,33
1924,0.7857,42
1925,0.766,47
1927,0.7333,30
1928,0.875,40
1929,0.7805,41
1930,0.8723,47
1935,0.9062,32
1936,0.9355,31
1937,0.9143,35
1939,0.8333,36
1941,0.7879,33
1944,0.9118,34
1947,0.7907,43
1948,0.7949,39
1949,0.814,43
1950,0.8,40
1951,0.8684,38
1953,0.8,30
1954,0.8919,37
1955,0.8889,36
1956,0.8333,42
1957,0.878,41
1958,0.9722,36
1959,0.8909,55
1960,0.8478,46
1961,0.8511,47
1962,0.878,41
1963,0.8125,64
1964,0.7857,42
1965,0.7869,61
1966,0.7778,72
1967,0.8919,74
1968,0.8205,78
1969,0.9138,58
1970,0.8214,84
1971,0.7547,53
1972,0.9205,88
1973,0.9385,65
1974,0.8182,55
1975,0.8235,51
1976,0.8605,43
1977,0.6897,58
1978,0.8966,58
1979,0.9459,37
1980,0.8529,34
1981,0.8684,38
1982,0.8413,63
1983,0.881,42
1984,0.8958,48
1985,0.8421,38
1986,0.5897,39
1987,0.8704,54
1988,0.7907,43
1989,0.8222,45
1990,0.814,43
1991,0.9057,53
1992,0.9756,41
1993,0.9495,99
1994,0.9174,109
1995,0.8333,78
1996,0.9107,56
1997,0.8387,31
1998,0.8696,46
1999,0.9091,44
2005,0.8298,47
2006,0.8409,44
2008,0.7273,33
