date,ordinality,count
1879,0.4667,30
1889,0.2917,48
1890,0.325,40
1891,0.2703,37
1893,0.1429,35
1895,0.5312,32
1896,0.2979,47
1897,0.1714,35
1898,0.359,39
1899,0.3214,84
1900,0.3548,62
1901,0.2444,45
1902,0.1143,35
1903,0.303,33
1904,0.4571,35
1905,0.1897,58
1906,0.2419,62
1907,0.3421,38
1908,0.3,50
1909,0.2174,46
1910,0.1667,60
1911,0.4154,65
1912,0.2656,64
1913,0.2632,57
1914,0.1667,54
1915,0.2174,46
1916,0.1831,71
1917,0.2143,56
1918,0.2222,54
1919,0.1556,45
1920,0.1951,41
1921,0.1778,45
1922,0.1935,62
1923,0.2308,39
1924,0.2121,33
1925,0.1515,33
1926,0.1935,31
1927,0.2973,37
1928,0.1905,42
1929,0.1905,42
1930,0.1923,52
1931,0.2069,58
1932,0.2188,32
1933,0.1818,33
1934,0.15,40
1935,0.2632,38
1936,0.25,32
1937,0.2647,34
1940,0.1538,39
1941,0.1795,39
1942,0.2941,34
1943,0.2558,43
1944,0.2,35
1946,0.2075,53
1947,0.2549,51
1948,0.1389,72
1949,0.0968,62
1950,0.2203,59
1951,0.1481,54
1952,0.1774,62
1953,0.3704,54
1954,0.1905,63
1955,0.1282,39
1956,0.2453,53
1957,0.1333,45
1958,0.1525,59
1959,0.2321,56
1960,0.3133,83
1961,0.2419,62
1962,0.1733,75
1963,0.2459,61
1964,0.1967,61
1965,0.2667,60
1966,0.3016,63
1967,0.175,80
1968,0.3158,76
1969,0.2375,80
1970,0.2143,84
1971,0.3,80
1972,0.1899,79
1973,0.1642,67
1974,0.2826,92
1975,0.0658,76
1976,0.2169,83
1977,0.0531,113
1978,0.1731,104
1979,0.1569,102
1980,0.0702,114
1981,0.2133,150
1982,0.0769,117
1983,0.1532,124
1984,0.1885,122
1985,0.1529,85
1986,0.1735,98
1987,0.1849,146
1988,0.2137,131
1989,0.1667,114
1990,0.125,72
1991,0.2143,70
1992,0.1136,88
1993,0.1823,203
1994,0.2607,257
1995,0.1308,214
1996,0.1496,127
1997,0.1792,106
1998,0.1667,102
1999,0.2381,63
2000,0.1296,54
2001,0.0952,63
2002,0.1754,57
2003,0.1017,59
2004,0.1778,45
2005,0.1613,124
2006,0.1313,99
2007,0.1111,45
2008,0.2759,58
2009,0.3,40
