date,ordinality,count
1844,0.4621,32
1845,0.3683,31
1848,0.5905,35
1849,0.5814,43
1850,0.5222,45
1851,0.5233,43
1852,0.5686,51
1853,0.5553,50
1854,0.553,44
1855,0.4095,35
1856,0.5,43
1857,0.4919,41
1859,0.3864,44
1860,0.5116,43
1861,0.543,31
1865,0.4839,31
1866,0.4583,36
1867,0.4881,42
1868,0.3472,36
1869,0.4815,54
1870,0.4268,41
1871,0.4189,37
1872,0.5667,40
1873,0.4715,41
1875,0.415,50
1876,0.5641,39
1877,0.5395,38
1878,0.5484,31
1879,0.4354,49
1880,0.3727,55
1882,0.5391,32
1883,0.4773,44
1884,0.5078,43
1885,0.3289,38
1886,0.55,40
1887,0.4818,55
1888,0.4766,57
1889,0.4697,66
1890,0.4464,56
1891,0.4271,48
1892,0.6026,52
1893,0.4461,51
1894,0.53,50
1895,0.314,43
1896,0.36,50
1897,0.3009,36
1898,0.5469,64
1899,0.4208,122
1900,0.4897,97
1901,0.5583,60
1902,0.4184,49
1903,0.5455,55
1904,0.5306,49
1905,0.449,49
1906,0.625,44
1907,0.4375,48
1908,0.56,50
1909,0.3976,70
1910,0.3833,60
1911,0.2882,48
1912,0.5374,49
1913,0.3241,54
1914,0.4444,45
1915,0.6026,39
1916,0.3936,47
1917,0.4412,34
1918,0.3235,34
1919,0.5375,40
1920,0.4,45
1922,0.3846,39
1928,0.4677,31
