date,ordinality,count
1839,0.0263,38
1851,0.5641,39
1852,0.6349,63
1853,0.3611,36
1854,0.4706,34
1856,0.4091,44
1860,0.26,50
1861,0.0404,99
1862,0.6452,31
1865,0.4194,31
1866,0.6176,34
1872,0.4865,37
1873,0.6765,34
1874,0.1875,32
1876,0.7045,88
1878,0.6,50
1880,0.4667,45
1881,0.6471,34
1882,0.3235,34
1883,0.6383,47
1884,0.3651,63
1885,0.3864,44
1886,0.3529,51
1887,0.2258,31
1888,0.3469,49
1889,0.3273,55
1890,0.2368,38
1891,0.2453,53
1892,0.4603,63
1893,0.3294,85
1894,0.625,32
1895,0.3356,146
1896,0.4186,43
1897,0.2759,58
1898,0.303,33
1899,0.2833,60
1900,0.4091,66
1901,0.5443,79
1902,0.3438,64
1903,0.4839,93
1904,0.3654,104
1905,0.3832,107
1906,0.2471,85
1907,0.3973,73
1908,0.3068,88
1909,0.3868,106
1910,0.4778,90
1911,0.4127,126
1912,0.3871,93
1913,0.2846,123
1914,0.3871,155
1915,0.5323,124
1916,0.3521,142
1917,0.4583,120
1918,0.4286,154
1919,0.4678,171
1920,0.4235,170
1921,0.439,164
1922,0.5027,187
1923,0.3869,137
1924,0.3404,141
1925,0.3483,89
1926,0.2857,98
1927,0.2574,101
1928,0.4079,76
1929,0.4,90
1930,0.4667,120
1931,0.4839,93
1932,0.2932,133
1933,0.3284,67
1934,0.4286,119
1935,0.2381,126
1936,0.3925,107
1937,0.3652,115
1938,0.3721,129
1939,0.5077,130
1940,0.4857,105
1941,0.4158,202
1942,0.4038,213
1943,0.4108,185
1944,0.435,177
1945,0.539,154
1946,0.4749,219
1947,0.3811,244
1948,0.4506,253
1949,0.4191,241
1950,0.3577,260
1951,0.4438,169
1952,0.3727,220
1953,0.3465,202
1954,0.3653,167
1955,0.3783,230
1956,0.3704,189
1957,0.4199,181
1958,0.455,200
1959,0.529,155
1960,0.2851,228
1961,0.4843,223
1962,0.4556,248
1963,0.3977,342
1964,0.4439,187
1965,0.4747,217
1966,0.4109,258
1967,0.3217,286
1968,0.415,306
1969,0.4444,279
1970,0.4237,236
1971,0.3808,239
1972,0.3932,295
1973,0.4125,240
1974,0.4375,240
1975,0.3773,220
1976,0.4706,187
1977,0.441,356
1978,0.3819,199
1979,0.3472,216
1980,0.4167,276
1981,0.4082,294
1982,0.4161,322
1983,0.3149,362
1984,0.529,259
1985,0.5057,265
1986,0.5411,231
1987,0.3267,352
1988,0.4669,317
1989,0.4745,314
1990,0.4556,248
1991,0.4953,212
1992,0.4621,264
1993,0.4495,436
1994,0.3816,621
1995,0.4882,424
1996,0.4444,288
1997,0.2921,178
1998,0.4713,174
1999,0.5299,117
2000,0.4648,71
2001,0.4375,80
2002,0.3854,96
2003,0.481,79
2004,0.3478,92
2005,0.4528,106
2006,0.3619,105
2007,0.338,71
2008,0.7378,164
2009,0.8421,247
2010,0.3714,35
