date,ordinality,count
1882,0.1,32
1888,0.129,31
1889,0.0641,39
1890,0.0395,38
1891,0.0645,31
1892,0.075,40
1893,0.1458,48
1894,0.125,48
1895,0.0683,46
1896,0.0209,76
1897,0.0036,55
1898,0.0274,83
1899,0.0566,109
1900,0.036,90
1901,0.0872,75
1902,0.037,54
1903,0.0813,41
1904,0.1265,63
1905,0.0849,53
1906,0.108,50
1907,0.11,50
1908,0.1957,47
1909,0.1162,66
1910,0.0182,55
1911,0.0526,57
1912,0.0813,76
1913,0.0424,59
1914,0.0642,48
1915,0.1247,55
1917,0.087,46
1918,0.1562,32
1919,0.0,37
1920,0.1667,41
1921,0.0645,31
1922,0.0519,44
1924,0.0758,33
1927,0.0645,31
1928,0.036,37
1929,0.034,49
1930,0.0909,33
1931,0.0143,35
1933,0.1613,31
1935,0.0294,34
1937,0.0938,32
1946,0.1346,39
1947,0.0882,34
1950,0.0645,31
1951,0.0645,31
1952,0.0753,31
1954,0.0857,35
1955,0.0469,32
1961,0.0286,35
1962,0.0308,39
1963,0.1375,40
1964,0.0455,33
1966,0.0645,31
1967,0.0238,42
1968,0.0882,34
1969,0.1224,49
1970,0.1048,52
1971,0.0568,44
1972,0.08,50
1973,0.0341,41
1974,0.0691,41
1978,0.046,35
1979,0.1515,33
1981,0.0682,33
1985,0.109,37
1987,0.0952,42
1989,0.1051,46
1993,0.1236,36
1994,0.0465,43
1995,0.0748,49
1997,0.2239,37
2005,0.1019,36
2006,0.197,33
