date,ordinality,count
1977,0.4911,36
1978,0.6425,38
1979,0.4388,42
1980,0.6432,48
1981,0.8,46
1982,0.6056,61
1983,0.4657,56
1984,0.6809,74
1985,0.6816,62
1986,0.627,71
1987,0.4979,64
1988,0.5639,105
1989,0.5646,93
1990,0.5865,79
1991,0.5103,65
1992,0.5268,70
1993,0.5577,90
1994,0.5012,136
1995,0.5304,113
1996,0.5489,113
1997,0.4612,67
1998,0.4133,75
1999,0.4936,52
2000,0.4204,54
2001,0.4301,52
2002,0.4327,61
2003,0.4433,50
2004,0.4516,40
2005,0.4259,54
2006,0.4343,59
2008,0.4784,37
2009,0.3297,31
