date,ordinality,count
1846,0.0,31
1848,0.0,34
1849,0.0,31
1851,0.0,34
1852,0.0323,31
1853,0.0,31
1854,0.0312,32
1855,0.0,36
1856,0.0,35
1857,0.0,32
1858,0.0312,32
1859,0.0227,44
1860,0.0,37
1861,0.0,36
1868,0.0,36
1871,0.0,37
1873,0.0,31
1876,0.0,32
1878,0.0,30
1879,0.0,33
1880,0.025,40
1881,0.0,39
1882,0.0476,42
1883,0.0,30
1884,0.0,35
1885,0.0,39
1886,0.0,43
1888,0.0,33
1889,0.0,52
1890,0.0,44
1891,0.0,30
1892,0.0,52
1893,0.0,48
1894,0.0,42
1895,0.0364,55
1896,0.0,38
1897,0.0,42
1898,0.08,50
1899,0.0455,88
1900,0.0,62
1901,0.0303,66
1902,0.0,60
1903,0.0169,59
1904,0.0,61
1905,0.0,54
1906,0.0152,66
1907,0.0,60
1908,0.0,75
1909,0.02,50
1910,0.0,57
1911,0.0645,62
1912,0.0,54
1913,0.0,74
1914,0.0,69
1915,0.0127,79
1916,0.0,65
1917,0.0,59
1918,0.0,60
1919,0.0,70
1920,0.0,56
1921,0.0,50
1922,0.0,73
1923,0.0227,44
1924,0.0,36
1925,0.0,33
1926,0.0,38
1927,0.0323,31
1928,0.0,39
1929,0.0189,53
1930,0.025,40
1931,0.0,37
1932,0.0,40
1933,0.027,37
1934,0.0,34
1936,0.0,32
1937,0.0,38
1938,0.0,40
1939,0.0,56
1940,0.0,60
1941,0.0,47
1942,0.0,34
1943,0.0,34
1944,0.0,37
1945,0.0,35
1946,0.0,33
1947,0.0,75
1948,0.0,68
1949,0.0,71
1950,0.0,59
1951,0.0159,63
1952,0.0169,59
1953,0.0267,75
1954,0.0,97
1955,0.0,75
1956,0.0,78
1957,0.0,79
1958,0.0,88
1959,0.0222,90
1960,0.0,88
1961,0.0,141
1962,0.0,111
1963,0.0,140
1964,0.0,127
1965,0.0,141
1966,0.0085,118
1967,0.0,167
1968,0.0152,132
1969,0.0,159
1970,0.0,174
1971,0.0,146
1972,0.0,149
1973,0.0056,179
1974,0.0061,163
1975,0.0201,149
1976,0.0122,164
1977,0.0046,217
1978,0.0,182
1979,0.0162,185
1980,0.0055,182
1981,0.006,167
1982,0.01,201
1983,0.0189,159
1984,0.0059,169
1985,0.0072,139
1986,0.0,131
1987,0.0169,178
1988,0.0052,194
1989,0.0065,153
1990,0.0,117
1991,0.0153,131
1992,0.0,152
1993,0.0138,290
1994,0.0078,386
1995,0.0035,285
1996,0.0052,191
1997,0.0,152
1998,0.0216,139
1999,0.0,80
2000,0.0133,75
2001,0.0,64
2002,0.012,83
2003,0.0,97
2004,0.0,85
2005,0.0197,152
2006,0.0308,130
2007,0.0139,72
2008,0.0,95
2009,0.0,84
2010,0.0,34
