date,ordinality,count
1830,0.5,33
1833,0.3819,45
1835,0.4091,53
1836,0.3919,52
1837,0.3618,41
1838,0.4431,32
1839,0.4525,52
1841,0.4075,54
1842,0.321,54
1843,0.3583,48
1844,0.4058,46
1845,0.2675,57
1846,0.3013,77
1847,0.3554,70
1848,0.5159,68
1849,0.3955,82
1850,0.3531,101
1851,0.3947,72
1852,0.3242,94
1853,0.4315,134
1854,0.336,110
1855,0.3745,116
1856,0.2937,127
1857,0.4214,92
1858,0.3115,82
1859,0.3162,105
1860,0.389,110
1861,0.3572,66
1862,0.3053,56
1863,0.3254,54
1864,0.3437,57
1865,0.288,80
1866,0.2812,99
1867,0.3428,95
1868,0.2825,105
1869,0.304,125
1870,0.2898,119
1871,0.3066,124
1872,0.3255,99
1873,0.2813,86
1874,0.3622,92
1875,0.2478,96
1876,0.3008,119
1877,0.4112,109
1878,0.3758,117
1879,0.2765,105
1880,0.2827,120
1881,0.2956,118
1882,0.3455,118
1883,0.3449,121
1884,0.2953,136
1885,0.2384,105
1886,0.295,124
1887,0.3036,121
1888,0.3504,115
1889,0.2671,143
1890,0.2938,119
1891,0.3254,117
1892,0.3337,117
1893,0.2343,118
1894,0.3485,126
1895,0.2372,158
1896,0.2851,136
1897,0.2996,121
1898,0.3139,93
1899,0.2646,158
1900,0.3072,128
1901,0.2614,150
1902,0.308,124
1903,0.2559,135
1904,0.2812,126
1905,0.2676,123
1906,0.2398,115
1907,0.2742,124
1908,0.2445,134
1909,0.3142,151
1910,0.2059,143
1911,0.2665,124
1912,0.2291,152
1913,0.2408,128
1914,0.274,116
1915,0.2552,131
1916,0.2771,106
1917,0.3715,103
1918,0.2517,98
1919,0.2461,100
1920,0.2161,116
1921,0.2869,83
1922,0.1758,124
1923,0.325,73
1924,0.2042,78
1925,0.3463,87
1926,0.2046,63
1927,0.2967,92
1928,0.1987,77
1929,0.2729,86
1930,0.2712,79
1931,0.2309,89
1932,0.2607,78
1933,0.183,72
1934,0.2663,65
1935,0.1665,86
1936,0.2411,85
1937,0.2503,99
1938,0.2266,89
1939,0.2668,68
1940,0.27,75
1941,0.2923,66
1942,0.1912,58
1943,0.2398,49
1944,0.3054,49
1945,0.2773,53
1946,0.3133,93
1947,0.2651,92
1948,0.2053,69
1949,0.2363,112
1950,0.2327,105
1951,0.1291,104
1952,0.3587,127
1953,0.1658,105
1954,0.278,97
1955,0.2431,94
1956,0.1848,116
1957,0.2238,140
1958,0.2566,112
1959,0.1943,106
1960,0.2828,175
1961,0.2548,172
1962,0.2436,192
1963,0.2214,177
1964,0.2447,196
1965,0.2676,207
1966,0.2501,215
1967,0.2466,202
1968,0.2544,274
1969,0.2037,246
1970,0.2347,251
1971,0.2052,243
1972,0.208,247
1973,0.2473,217
1974,0.2331,217
1975,0.2141,170
1976,0.2207,143
1977,0.2193,152
1978,0.179,167
1979,0.2304,157
1980,0.2318,139
1981,0.1976,160
1982,0.1961,187
1983,0.245,175
1984,0.2481,144
1985,0.2041,118
1986,0.2108,100
1987,0.2729,192
1988,0.192,206
1989,0.2298,157
1990,0.2465,120
1991,0.2597,105
1992,0.2662,103
1993,0.2313,179
1994,0.2408,247
1995,0.1831,226
1996,0.1728,211
1997,0.2864,142
1998,0.2467,158
1999,0.1912,70
2000,0.2509,68
2001,0.2352,72
2002,0.2527,86
2003,0.1928,73
2004,0.2129,92
2005,0.199,178
2006,0.1882,140
2007,0.1883,72
2008,0.2079,105
2009,0.1862,91
2010,0.2246,37
