date,ordinality,count
1823,0.0667,30
1824,0.2,30
1829,0.0,39
1830,0.0,36
1835,0.0303,33
1836,0.0278,36
1837,0.0,32
1838,0.0,36
1839,0.0,47
1840,0.0811,37
1841,0.0526,38
1842,0.0333,30
1843,0.0286,35
1844,0.0227,44
1845,0.0345,58
1846,0.0182,55
1847,0.0617,81
1848,0.129,62
1849,0.0377,53
1850,0.0617,81
1851,0.0789,76
1852,0.0488,82
1853,0.066,106
1854,0.019,105
1855,0.0805,87
1856,0.0222,90
1857,0.0226,133
1858,0.029,69
1859,0.1122,98
1860,0.0556,144
1861,0.0106,94
1862,0.0,60
1863,0.0161,62
1864,0.0494,81
1865,0.0357,56
1866,0.0351,114
1867,0.0185,108
1868,0.04,100
1869,0.0431,116
1870,0.0189,159
1871,0.026,154
1872,0.0382,131
1873,0.0159,126
1874,0.0169,118
1875,0.0301,133
1876,0.0303,132
1877,0.0174,115
1878,0.0109,183
1879,0.0297,337
1880,0.0294,204
1881,0.0356,225
1882,0.0108,185
1883,0.0493,203
1884,0.0161,186
1885,0.0055,182
1886,0.0047,215
1887,0.0236,212
1888,0.0111,180
1889,0.0288,243
1890,0.0262,267
1891,0.0088,226
1892,0.0187,267
1893,0.0417,240
1894,0.0075,267
1895,0.0158,316
1896,0.0188,266
1897,0.0091,331
1898,0.0181,277
1899,0.0299,334
1900,0.0072,415
1901,0.0182,440
1902,0.0196,306
1903,0.0122,329
1904,0.0239,335
1905,0.0047,422
1906,0.011,364
1907,0.0027,366
1908,0.0082,368
1909,0.0101,593
1910,0.0136,664
1911,0.0048,421
1912,0.0105,570
1913,0.0039,514
1914,0.0137,511
1915,0.0024,848
1916,0.0055,549
1917,0.0019,532
1918,0.0018,550
1919,0.0031,650
1920,0.0038,798
1921,0.0016,618
1922,0.005,602
1923,0.0093,430
1924,0.0123,324
1925,0.0061,327
1926,0.0068,443
1927,0.0062,481
1928,0.0124,323
1929,0.0082,367
1930,0.0127,393
1931,0.0026,378
1932,0.0115,348
1933,0.0028,357
1934,0.0051,395
1935,0.0053,377
1936,0.0098,410
1937,0.0111,539
1938,0.0024,414
1939,0.0042,481
1940,0.0047,428
1941,0.0,402
1942,0.0052,381
1943,0.0132,303
1944,0.003,330
1945,0.0,344
1946,0.0105,382
1947,0.0025,394
1948,0.0,461
1949,0.0021,479
1950,0.004,505
1951,0.004,496
1952,0.0094,533
1953,0.0061,490
1954,0.0039,509
1955,0.0053,561
1956,0.0037,542
1957,0.0,525
1958,0.0175,572
1959,0.0032,617
1960,0.0045,674
1961,0.0038,783
1962,0.0071,706
1963,0.0037,809
1964,0.0089,785
1965,0.0013,781
1966,0.0013,770
1967,0.0045,891
1968,0.0086,928
1969,0.0024,844
1970,0.0044,899
1971,0.0132,985
1972,0.001,964
1973,0.0049,1027
1974,0.002,1015
1975,0.0029,1032
1976,0.0019,1068
1977,0.0023,1281
1978,0.0032,1251
1979,0.0024,1234
1980,0.0053,1126
1981,0.0015,1373
1982,0.004,1239
1983,0.0024,1241
1984,0.003,1010
1985,0.0072,972
1986,0.0011,889
1987,0.0009,1078
1988,0.0025,1213
1989,0.0031,980
1990,0.0012,816
1991,0.0012,814
1992,0.0051,985
1993,0.0015,1995
1994,0.006,2170
1995,0.0037,1610
1996,0.003,1010
1997,0.0028,706
1998,0.0,768
1999,0.0,516
2000,0.0041,487
2001,0.0046,436
2002,0.0,477
2003,0.0049,410
2004,0.0125,399
2005,0.0051,584
2006,0.0018,554
2007,0.0,297
2008,0.0056,356
2009,0.0033,300
2010,0.0205,146
2011,0.0,65
2012,0.0,70
2013,0.0,44
