date,ordinality,count
1881,0.0,33
1882,0.0,31
1888,0.0,38
1889,0.0,33
1893,0.0,44
1894,0.0,41
1895,0.0,52
1896,0.0,45
1897,0.0,38
1898,0.0227,44
1899,0.0,54
1900,0.0,56
1901,0.0,53
1902,0.0,51
1903,0.0,54
1904,0.0,60
1905,0.0,61
1906,0.0,54
1907,0.0,44
1908,0.0,63
1909,0.0,68
1910,0.0,56
1911,0.0208,48
1912,0.0,67
1913,0.0,76
1914,0.0055,91
1915,0.0,50
1916,0.0,69
1917,0.0,69
1918,0.0,54
1919,0.0,76
1920,0.0,61
1921,0.0,68
1922,0.0,79
1923,0.0,50
1924,0.0,47
1925,0.0,59
1926,0.0,50
1927,0.0,48
1928,0.0,54
1929,0.0,47
1930,0.0,57
1931,0.0,51
1932,0.0,62
1933,0.0,47
1934,0.0,37
1935,0.0,39
1936,0.0,52
1937,0.0,74
1938,0.0,65
1939,0.0,60
1940,0.0,56
1941,0.0,56
1942,0.0,52
1943,0.0,48
1944,0.0,40
1945,0.0,42
1946,0.0,53
1947,0.0,62
1948,0.0,74
1949,0.0,73
1950,0.0,54
1951,0.0,47
1952,0.0,71
1953,0.0,66
1954,0.0,71
1955,0.0,73
1956,0.0,66
1957,0.0,78
1958,0.0,70
1959,0.0,83
1960,0.0,94
1961,0.0,107
1962,0.0,99
1963,0.0,106
1964,0.0,106
1965,0.0,116
1966,0.0,87
1967,0.0,129
1968,0.0,132
1969,0.0,137
1970,0.0,133
1971,0.0,114
1972,0.0,126
1973,0.0,121
1974,0.0,122
1975,0.0,128
1976,0.0,90
1977,0.0,127
1978,0.0,131
1979,0.0,102
1980,0.0,106
1981,0.0,123
1982,0.0,136
1983,0.0,141
1984,0.0,134
1985,0.0096,104
1986,0.0,92
1987,0.0,122
1988,0.0,164
1989,0.0,109
1990,0.0,91
1991,0.0,69
1992,0.0,73
1993,0.0,122
1994,0.0,183
1995,0.0,179
1996,0.0,151
1997,0.0,131
1998,0.0,137
1999,0.0,84
2000,0.0,52
2001,0.0,54
2002,0.0,52
2003,0.0,52
2004,0.0,39
2005,0.0019,131
2006,0.0,109
2007,0.0,48
2008,0.0,62
2009,0.0,58
