date,ordinality,count
1889,0.7941,34
1893,0.7097,31
1899,0.6136,44
1900,0.5405,37
1904,0.6892,37
1906,0.5217,46
1909,0.8293,41
1910,0.7273,44
1911,0.5789,38
1912,0.5119,42
1913,0.75,50
1914,0.6746,42
1915,0.5405,37
1918,0.5806,31
1919,0.6078,34
1920,0.5645,31
1922,0.5365,32
1928,0.8323,31
1929,0.6016,32
1936,0.6094,32
1939,0.6094,32
1940,0.7097,31
1944,0.5808,33
1947,0.6095,35
1949,0.6667,42
1950,0.683,51
1951,0.5857,35
1952,0.7207,37
1953,0.6364,40
1954,0.7417,40
1955,0.5812,44
1956,0.6587,42
1957,0.563,45
1958,0.6895,39
1960,0.6833,60
1961,0.6058,65
1962,0.7416,83
1963,0.7963,81
1964,0.6888,64
1965,0.669,68
1966,0.5866,67
1967,0.6997,83
1968,0.6994,73
1969,0.7271,80
1970,0.6996,105
1971,0.6826,89
1972,0.6593,78
1973,0.5732,99
1974,0.6638,92
1975,0.5969,86
1976,0.7045,66
1977,0.5467,75
1978,0.6756,93
1979,0.6667,78
1980,0.7009,73
1981,0.6679,104
1982,0.6513,101
1983,0.6532,99
1984,0.624,80
1985,0.7356,74
1986,0.7034,58
1987,0.6687,83
1988,0.7019,122
1989,0.6149,111
1990,0.6833,60
1991,0.4281,51
1992,0.619,56
1993,0.6635,116
1994,0.5798,165
1995,0.647,144
1996,0.5283,106
1997,0.628,82
1998,0.6319,91
1999,0.7037,36
2000,0.6302,32
2001,0.5923,52
2002,0.6489,47
2003,0.4936,39
2004,0.53,50
2005,0.6059,102
2006,0.5586,89
2007,0.5433,50
2008,0.6432,78
2009,0.6667,63
