date,ordinality,count
1838,0.3611,36
1839,0.8529,34
1841,0.7059,34
1846,0.7273,33
1847,0.5714,42
1848,0.1096,146
1849,0.8387,31
1850,0.7273,33
1851,0.7027,37
1852,0.7292,48
1853,0.7073,41
1854,0.5909,44
1855,0.746,63
1857,0.7119,59
1858,0.8375,80
1859,0.0467,514
1860,0.6,55
1861,0.3462,52
1862,0.1933,450
1865,0.4333,30
1866,0.5938,64
1867,0.878,41
1868,0.5625,64
1869,0.6667,45
1870,0.4933,75
1871,0.507,71
1872,0.803,66
1874,0.7455,55
1875,0.8873,71
1877,0.1634,153
1878,0.575,40
1879,0.8519,54
1880,0.7317,41
1881,0.9125,80
1882,0.3968,126
1883,0.7596,104
1884,0.339,59
1885,0.6316,57
1886,0.5625,48
1887,0.2791,129
1888,0.6027,73
1889,0.551,49
1890,0.6136,88
1891,0.5325,77
1892,0.7465,71
1893,0.4022,92
1894,0.5464,97
1895,0.5169,89
1896,0.5169,89
1897,0.5088,114
1898,0.2709,203
1899,0.7978,89
1900,0.7143,91
1901,0.5696,79
1902,0.5281,89
1903,0.4597,124
1904,0.57,100
1905,0.6724,58
1906,0.5745,94
1907,0.5794,107
1908,0.6429,84
1909,0.604,101
1910,0.6901,71
1911,0.4407,118
1912,0.6292,89
1913,0.5378,119
1914,0.6117,103
1915,0.2085,331
1916,0.5306,98
1917,0.6296,54
1918,0.6986,73
1919,0.7059,68
1920,0.7115,104
1921,0.413,92
1922,0.7143,105
1923,0.6964,56
1924,0.7381,42
1925,0.6866,67
1926,0.3867,75
1927,0.58,50
1928,0.8182,44
1929,0.5484,62
1930,0.7467,75
1931,0.6066,61
1932,0.6829,41
1933,0.569,58
1934,0.6545,55
1935,0.8462,52
1936,0.5273,55
1937,0.791,67
1938,0.7344,64
1939,0.7636,55
1940,0.8211,95
1941,0.6406,64
1942,0.5231,65
1943,0.7742,31
1944,0.6133,75
1945,0.7027,74
1946,0.6,90
1947,0.7132,129
1948,0.7294,85
1949,0.7143,84
1950,0.4787,94
1951,0.1942,309
1952,0.6957,115
1953,0.6162,99
1954,0.3178,236
1955,0.6286,105
1956,0.6083,120
1957,0.6386,166
1958,0.6357,140
1959,0.6645,155
1960,0.6996,233
1961,0.6198,242
1962,0.6045,268
1963,0.5517,261
1964,0.6581,310
1965,0.5546,339
1966,0.6276,341
1967,0.6587,375
1968,0.6533,349
1969,0.5913,345
1970,0.6415,371
1971,0.5666,323
1972,0.4793,459
1973,0.627,370
1974,0.558,371
1975,0.2178,955
1976,0.6687,335
1977,0.5964,441
1978,0.7218,381
1979,0.7098,386
1980,0.6272,346
1981,0.6032,373
1982,0.6275,400
1983,0.6234,563
1984,0.6,350
1985,0.6557,244
1986,0.7293,362
1987,0.6316,418
1988,0.6508,610
1989,0.6199,513
1990,0.6811,301
1991,0.5829,362
1992,0.6634,413
1993,0.6578,1055
1994,0.6797,1380
1995,0.7005,915
1996,0.5849,571
1997,0.657,379
1998,0.6429,336
1999,0.6016,246
2000,0.6119,219
2001,0.6884,215
2002,0.6783,258
2003,0.671,310
2004,0.6241,282
2005,0.7123,365
2006,0.6204,245
2007,0.5556,180
2008,0.6894,161
2009,0.7063,160
2010,0.7188,64
2015,0.8108,37
