date,ordinality,count
1852,1.0,34
1854,1.0,41
1857,1.0,34
1859,0.9688,32
1861,0.9688,32
1862,0.9677,31
1863,1.0,36
1864,1.0,51
1865,1.0,34
1866,1.0,51
1867,1.0,44
1868,1.0,49
1869,1.0,48
1870,1.0,46
1871,1.0,45
1872,1.0,52
1873,1.0,43
1874,1.0,40
1875,1.0,44
1876,1.0,55
1877,1.0,63
1878,1.0,43
1879,1.0,54
1880,0.9853,68
1881,1.0,60
1882,1.0,60
1883,1.0,55
1884,1.0,69
1885,1.0,55
1886,0.9815,54
1887,1.0,74
1888,1.0,66
1889,0.9839,62
1890,1.0,63
1891,1.0,64
1892,1.0,61
1893,1.0,73
1894,1.0,71
1895,1.0,86
1896,1.0,72
1897,1.0,82
1898,0.9836,61
1899,0.9939,82
1900,0.9934,76
1901,1.0,84
1902,0.999,74
1903,0.9904,104
1904,1.0,69
1905,1.0,88
1906,1.0,74
1907,1.0,103
1908,1.0,81
1909,1.0,91
1910,1.0,94
1911,0.9906,106
1912,0.98,100
1913,1.0,104
1914,0.9994,115
1915,1.0,106
1916,1.0,73
1917,1.0,88
1918,1.0,73
1919,1.0,66
1920,0.9855,69
1921,1.0,59
1922,1.0,79
1923,1.0,45
1925,0.9971,49
1927,0.9677,31
1937,1.0,32
