date,ordinality,count
1899,0.0,36
1913,0.0,31
1920,0.0,34
1961,0.0,36
1962,0.0,35
1963,0.0,43
1964,0.0,41
1965,0.0,50
1966,0.0,40
1967,0.0,38
1968,0.0,63
1969,0.0,50
1970,0.0,60
1971,0.0,52
1972,0.0,50
1973,0.0,52
1974,0.0,50
1975,0.0,51
1976,0.0,41
1977,0.0,57
1978,0.0,41
1979,0.0,46
1980,0.0,37
1981,0.0,43
1982,0.0,48
1983,0.0,43
1984,0.0,48
1986,0.0,41
1987,0.0,34
1988,0.0,48
1989,0.0,32
1993,0.0,47
1994,0.0,69
1995,0.0,49
1996,0.0,48
1997,0.0,36
1998,0.0,34
1999,0.0,31
2005,0.0,33
2006,0.0,32
