date,ordinality,count
1850,0.625,32
1853,0.4688,32
1856,0.5882,34
1857,0.5484,31
1860,0.3226,31
1864,0.5667,30
1867,0.5429,35
1868,0.6829,41
1872,0.55,40
1873,0.6444,45
1874,0.5588,34
1875,0.5,38
1876,0.5116,43
1877,0.6,35
1879,0.4474,38
1880,0.6136,44
1881,0.4474,38
1882,0.525,40
1883,0.3542,48
1884,0.6842,57
1885,0.6341,41
1886,0.5522,67
1887,0.4091,44
1888,0.4727,55
1889,0.5857,70
1890,0.4921,63
1891,0.6875,64
1892,0.6531,49
1893,0.5094,53
1894,0.6522,46
1895,0.5,76
1896,0.5068,73
1897,0.5507,69
1898,0.4925,67
1899,0.5472,106
1900,0.4156,77
1901,0.6053,76
1902,0.5833,60
1903,0.5484,62
1904,0.6986,73
1905,0.5278,72
1906,0.6316,76
1907,0.6,70
1908,0.5972,72
1909,0.6125,80
1910,0.55,80
1911,0.5857,70
1912,0.6129,93
1913,0.4706,68
1914,0.4795,73
1915,0.623,61
1916,0.4792,96
1917,0.4324,74
1918,0.4,60
1919,0.5765,85
1920,0.5814,86
1921,0.625,64
1922,0.4868,76
1923,0.6458,48
1924,0.5106,47
1925,0.6667,36
1926,0.5217,46
1927,0.4324,37
1928,0.459,61
1929,0.4154,65
1930,0.5455,44
1931,0.5077,65
1932,0.5472,53
1933,0.4286,42
1934,0.6038,53
1935,0.4318,44
1936,0.5,44
1937,0.4884,43
1938,0.5333,60
1939,0.614,57
1940,0.6774,62
1941,0.5455,44
1942,0.4762,42
1943,0.5323,62
1944,0.5789,38
1945,0.4848,33
1946,0.4746,59
1947,0.6628,86
1948,0.6486,74
1949,0.55,60
1950,0.6212,66
1951,0.8,50
1952,0.5882,85
1953,0.5256,78
1954,0.746,63
1955,0.5595,84
1956,0.5135,74
1957,0.6061,66
1958,0.5641,78
1959,0.5692,65
1960,0.5316,79
1961,0.6238,101
1962,0.6346,104
1963,0.4651,86
1964,0.5211,71
1965,0.6316,95
1966,0.5581,86
1967,0.5047,107
1968,0.5922,103
1969,0.566,106
1970,0.6053,114
1971,0.4732,112
1972,0.5354,99
1973,0.54,100
1974,0.6068,117
1975,0.641,78
1976,0.6324,68
1977,0.619,84
1978,0.5474,95
1979,0.5833,84
1980,0.68,50
1981,0.4091,66
1982,0.5658,76
1983,0.5714,70
1984,0.5476,84
1985,0.5283,53
1986,0.4906,53
1987,0.4416,77
1988,0.5517,87
1989,0.5455,66
1990,0.5077,65
1991,0.5116,43
1992,0.4923,65
1993,0.5503,149
1994,0.5531,226
1995,0.5643,140
1996,0.5517,87
1997,0.5345,58
1998,0.6102,59
1999,0.6596,47
2002,0.5116,43
2003,0.3529,34
2004,0.5957,47
2005,0.4627,67
2006,0.5254,59
2008,0.4872,39
2009,0.7073,41
