date,ordinality,count
1835,0.9412,34
1838,0.9706,34
1844,0.95,40
1845,0.9323,48
1846,0.9516,62
1847,0.8574,65
1848,0.9545,33
1850,0.9362,47
1851,0.7717,69
1852,0.9353,68
1853,0.9272,71
1854,0.8873,71
1855,0.9044,61
1856,0.9598,87
1857,0.8486,69
1858,0.914,62
1859,0.8897,68
1860,0.8576,72
1861,0.8761,53
1862,0.925,40
1863,0.8934,42
1864,0.8556,36
1865,0.8756,45
1866,0.8358,34
1867,0.8876,43
1868,0.8871,58
1869,0.9623,53
1870,0.8997,50
1871,0.9029,69
1872,0.8836,58
1873,0.8643,47
1874,0.96,50
1875,0.8778,45
1876,0.8912,68
1877,0.8702,61
1878,0.8808,65
1879,0.8674,46
1880,0.9109,80
1881,0.8654,78
1882,0.9333,84
1883,0.8877,67
1884,0.9313,67
1885,0.9216,68
1886,0.9113,62
1887,0.9075,67
1888,0.9384,86
1889,0.8321,82
1890,0.9081,68
1891,0.8923,65
1892,0.8817,62
1893,0.8333,69
1894,0.9118,68
1895,0.8844,66
1896,0.8726,62
1897,0.9178,72
1898,0.8743,61
1899,0.911,73
1900,0.9012,99
1901,0.9444,78
1902,0.9252,78
1903,0.9451,79
1904,0.8699,72
1905,0.8644,73
1906,0.8922,102
1907,0.8283,83
1908,0.8737,99
1909,0.9014,115
1910,0.8698,96
1911,0.9006,117
1912,0.8869,112
1913,0.9277,106
1914,0.9096,121
1915,0.9244,102
1916,0.9246,95
1917,0.9196,92
1918,0.9286,70
1919,0.9329,82
1920,0.9606,105
1921,0.9156,98
1922,0.9128,128
1923,0.901,64
1924,0.8627,51
1925,0.9,55
1926,0.8723,47
1927,0.8347,59
1928,0.9256,52
1929,0.9412,51
1930,0.9125,60
1931,0.8308,52
1932,0.8635,42
1933,0.8627,51
1934,0.9388,49
1935,0.9009,53
1936,0.9012,54
1937,0.9026,77
1938,0.9508,61
1939,0.9565,69
1940,0.8958,48
1941,0.8794,47
1942,0.9778,45
1943,0.8646,32
1944,0.9032,31
1945,0.8409,44
1946,0.9035,57
1947,0.8511,47
1948,0.9298,57
1949,0.8897,68
1950,0.9274,62
1951,0.9154,65
1952,0.9359,78
1953,0.8929,70
1954,0.9189,74
1955,0.831,71
1956,0.8886,79
1957,0.8806,67
1958,0.9016,61
1959,0.9286,84
1960,0.9096,94
1961,0.8397,78
1962,0.905,100
1963,0.899,99
1964,0.9213,89
1965,0.8615,120
1966,0.9043,115
1967,0.9206,128
1968,0.8993,134
1969,0.9033,143
1970,0.8936,141
1971,0.9236,120
1972,0.8124,113
1973,0.9014,142
1974,0.8566,122
1975,0.8131,107
1976,0.9213,100
1977,0.8547,117
1978,0.8674,132
1979,0.9058,138
1980,0.9225,142
1981,0.88,125
1982,0.9051,137
1983,0.9437,151
1984,0.9178,146
1985,0.8922,116
1986,0.8791,107
1987,0.8846,143
1988,0.8509,161
1989,0.8638,130
1990,0.8381,122
1991,0.9193,92
1992,0.9261,88
1993,0.8893,134
1994,0.8978,171
1995,0.9363,157
1996,0.8761,148
1997,0.8879,116
1998,0.934,106
1999,0.812,86
2000,0.8571,70
2001,0.8889,63
2002,0.8983,59
2003,0.8087,61
2004,0.8779,77
2005,0.9494,112
2006,0.8797,133
2007,0.8909,55
2008,0.888,96
2009,0.9403,67
