date,ordinality,count
1949,0.6,40
1960,0.8125,32
1961,0.6863,51
1962,0.6667,42
1963,0.4583,36
1964,0.5976,41
1965,0.6574,36
1966,0.786,43
1967,0.6381,35
1968,0.6932,44
1969,0.7442,43
1970,0.5938,48
1971,0.7339,62
1972,0.7544,57
1973,0.4894,47
1974,0.697,66
1975,0.625,72
1976,0.7167,60
1977,0.6449,69
1978,0.4633,59
1979,0.75,74
1980,0.5294,68
1981,0.6133,75
1982,0.6855,62
1983,0.5833,60
1984,0.6275,51
1985,0.6667,48
1986,0.6889,51
1987,0.6915,47
1988,0.6389,54
1989,0.6667,51
1992,0.5408,49
1993,0.6562,48
1994,0.6275,51
1995,0.6833,60
1996,0.6596,47
1997,0.5645,31
1998,0.5588,34
1999,0.7353,34
