date,ordinality,count
1853,0.675,40
1854,0.3676,34
1856,0.7027,37
1859,0.5833,36
1880,0.5152,33
1885,0.5484,31
1886,0.5,40
1888,0.4394,33
1889,0.4091,44
1891,0.5484,31
1893,0.4545,33
1898,0.5111,45
1899,0.5444,45
1900,0.6802,37
1908,0.4839,31
1909,0.4688,32
1913,0.4844,32
1914,0.4872,39
1918,0.3939,33
1919,0.2188,32
1962,0.7634,31
1963,0.5885,32
1965,0.4706,34
1966,0.4872,39
1967,0.6129,31
1968,0.7353,51
1970,0.5125,40
1971,0.5455,33
1972,0.6016,41
1973,0.6667,33
1974,0.383,47
1978,0.5152,33
1979,0.3971,34
1983,0.4839,31
1994,0.5,32
