date,ordinality,count
1888,0.6944,36
1900,0.3548,31
1902,0.6026,39
1903,0.6017,37
1906,0.3971,34
1909,0.3949,46
1911,0.3684,38
1912,0.3971,34
1913,0.4479,48
1914,0.2545,41
1915,0.44,40
1916,0.6406,32
1917,0.472,50
1918,0.5071,40
1919,0.4694,49
1920,0.4776,52
1921,0.5505,33
1922,0.5645,62
1923,0.5606,33
1924,0.3838,33
1925,0.3553,38
1926,0.4839,31
1927,0.25,32
1928,0.6505,31
1929,0.4714,35
1930,0.3569,46
1931,0.4909,33
1932,0.513,41
1933,0.3712,44
1934,0.5392,34
1935,0.617,47
1936,0.5,39
1937,0.5707,46
1938,0.4277,49
1939,0.4667,45
1940,0.4855,43
1941,0.5351,57
1942,0.5119,42
1943,0.6204,36
1944,0.6275,34
1945,0.5947,43
1946,0.5091,55
1947,0.6448,58
1948,0.4754,61
1949,0.5338,74
1950,0.4776,67
1951,0.4706,72
1952,0.4537,54
1953,0.5527,58
1954,0.5449,65
1955,0.4609,81
1956,0.5458,97
1957,0.4933,75
1958,0.5176,104
1959,0.5482,83
1960,0.4556,90
1961,0.5608,74
1962,0.584,117
1963,0.5132,132
1964,0.4888,109
1965,0.5317,132
1966,0.5743,138
1967,0.4856,161
1968,0.4503,146
1969,0.506,159
1970,0.4877,154
1971,0.51,163
1972,0.5239,176
1973,0.5426,166
1974,0.5672,155
1975,0.5714,141
1976,0.5188,130
1977,0.4956,155
1978,0.4682,174
1979,0.4977,142
1980,0.5684,132
1981,0.5184,158
1982,0.507,157
1983,0.4937,133
1984,0.5416,111
1985,0.4714,85
1986,0.6103,99
1987,0.5534,118
1988,0.5625,156
1989,0.5065,129
1990,0.4985,111
1991,0.4167,65
1992,0.4369,82
1993,0.5375,120
1994,0.5226,148
1995,0.5782,137
1996,0.5891,129
1997,0.5682,102
1998,0.4954,90
1999,0.5949,62
2000,0.4573,52
2001,0.6449,46
2002,0.5556,63
2003,0.6823,49
2004,0.5768,57
2005,0.4955,74
2006,0.5893,75
2007,0.5524,35
2008,0.6045,48
2009,0.5476,42
