date,ordinality,count
1848,1.0,38
1864,1.0,33
1877,1.0,31
1886,1.0,32
1887,1.0,42
1889,1.0,39
1894,1.0,38
1895,1.0,39
1896,1.0,35
1897,1.0,49
1898,1.0,65
1899,1.0,46
1900,1.0,52
1901,1.0,39
1902,1.0,47
1903,1.0,42
1904,1.0,30
1905,1.0,39
1906,1.0,43
1907,1.0,46
1908,1.0,58
1909,1.0,50
1910,1.0,45
1911,1.0,58
1912,1.0,47
1913,1.0,45
1914,1.0,62
1915,1.0,51
1916,1.0,48
1917,1.0,72
1918,1.0,50
1919,1.0,75
1920,1.0,68
1921,1.0,58
1922,0.9565,46
1926,1.0,40
1927,1.0,36
1928,1.0,32
1930,1.0,45
1931,1.0,35
1935,1.0,34
1936,1.0,35
1937,1.0,37
1938,1.0,32
1940,1.0,33
1941,1.0,40
1942,1.0,40
1943,1.0,30
1945,1.0,32
1946,1.0,31
1947,1.0,39
1948,1.0,48
1949,1.0,52
1950,1.0,41
1951,1.0,41
1953,1.0,33
1954,1.0,48
1955,1.0,45
1956,1.0,36
1957,1.0,35
1958,1.0,53
1959,1.0,59
1960,1.0,37
1961,1.0,85
1962,1.0,71
1963,1.0,66
1964,1.0,51
1965,1.0,57
1966,1.0,67
1967,1.0,78
1968,1.0,70
1969,1.0,70
1970,1.0,88
1971,1.0,70
1972,0.9848,66
1973,1.0,58
1974,1.0,65
1975,1.0,54
1976,1.0,80
1977,1.0,112
1978,1.0,81
1979,1.0,58
1980,1.0,63
1981,1.0,92
1982,1.0,74
1983,1.0,70
1984,1.0,68
1985,1.0,71
1986,1.0,76
1987,0.9881,84
1988,1.0,75
1989,0.9881,84
1990,1.0,42
1991,1.0,52
1992,1.0,46
1993,1.0,113
1994,1.0,116
1995,1.0,84
1996,1.0,61
1997,1.0,35
1998,1.0,48
1999,1.0,33
2000,1.0,41
2002,1.0,37
2005,1.0,51
2006,1.0,47
