date,ordinality,count
1838,1.0,30
1841,1.0,31
1844,1.0,36
1845,1.0,34
1846,1.0,43
1847,1.0,42
1848,1.0,43
1849,1.0,44
1850,1.0,52
1851,1.0,37
1852,1.0,40
1853,1.0,65
1854,1.0,56
1855,1.0,42
1856,1.0,54
1857,1.0,37
1859,1.0,71
1860,1.0,54
1861,1.0,35
1862,1.0,52
1863,1.0,42
1864,1.0,53
1865,1.0,51
1866,1.0,49
1867,1.0,60
1868,1.0,67
1869,1.0,65
1870,1.0,60
1871,1.0,41
1872,1.0,54
1873,1.0,42
1874,1.0,52
1875,1.0,54
1876,1.0,60
1877,1.0,58
1878,1.0,74
1879,1.0,66
1880,1.0,65
1881,1.0,62
1882,1.0,68
1883,1.0,68
1884,1.0,97
1885,1.0,69
1886,1.0,62
1887,1.0,73
1888,1.0,96
1889,1.0,114
1890,1.0,68
1891,1.0,92
1892,0.9694,98
1893,1.0,72
1894,1.0,94
1895,1.0,118
1896,1.0,101
1897,1.0,99
1898,1.0,97
1899,0.994,168
1900,0.9917,120
1901,1.0,103
1902,1.0,119
1903,1.0,103
1904,1.0,107
1905,1.0,102
1906,1.0,110
1907,1.0,132
1908,1.0,96
1909,1.0,126
1910,1.0,125
1911,1.0,122
1912,1.0,123
1913,1.0,124
1914,1.0,110
1915,1.0,115
1916,1.0,104
1917,1.0,106
1918,1.0,93
1919,1.0,116
1920,1.0,123
1921,1.0,89
1922,1.0,102
1923,1.0,89
1924,1.0,88
1925,1.0,69
1926,1.0,62
1927,1.0,78
1928,1.0,105
1929,1.0,93
1930,1.0,67
1931,1.0,84
1932,1.0,71
1933,1.0,70
1934,1.0,76
1935,1.0,71
1936,1.0,99
1937,1.0,97
1938,1.0,73
1939,1.0,66
1940,1.0,79
1941,1.0,81
1942,1.0,78
1943,1.0,52
1944,1.0,52
1945,1.0,57
1946,1.0,79
1947,1.0,90
1948,1.0,83
1949,1.0,92
1950,1.0,97
1951,1.0,90
1952,1.0,72
1953,1.0,85
1954,1.0,97
1955,1.0,99
1956,0.9906,106
1957,1.0,129
1958,1.0,95
1959,1.0,130
1960,1.0,101
1961,1.0,136
1962,1.0,143
1963,1.0,130
1964,1.0,123
1965,1.0,116
1966,1.0,132
1967,1.0,160
1968,1.0,165
1969,1.0,171
1970,1.0,202
1971,1.0,150
1972,0.9941,170
1973,1.0,165
1974,1.0,135
1975,0.9941,169
1976,1.0,124
1977,1.0,174
1978,1.0,137
1979,1.0,179
1980,1.0,140
1981,1.0,190
1982,1.0,173
1983,1.0,175
1984,1.0,169
1985,1.0,124
1986,1.0,149
1987,1.0,186
1988,0.9946,184
1989,1.0,173
1990,1.0,105
1991,1.0,126
1992,1.0,173
1993,1.0,387
1994,0.9979,476
1995,1.0,377
1996,1.0,212
1997,1.0,129
1998,0.992,125
1999,1.0,88
2000,1.0,59
2001,1.0,81
2002,1.0,84
2003,1.0,54
2004,1.0,89
2005,1.0,138
2006,1.0,99
2007,1.0,79
2008,1.0,101
2009,1.0,83
