date,ordinality,count
1844,0.2258,31
1845,0.2326,43
1846,0.3939,33
1847,0.1636,55
1849,0.3846,39
1850,0.3019,53
1851,0.3421,38
1852,0.3333,30
1853,0.3235,34
1854,0.2449,49
1856,0.3137,51
1857,0.2286,35
1858,0.4333,30
1859,0.2679,56
1860,0.2766,47
1863,0.4516,31
1864,0.2432,37
1867,0.3243,37
1868,0.2105,76
1869,0.4068,59
1870,0.2703,74
1871,0.2537,67
1872,0.2889,45
1873,0.3714,35
1874,0.3265,49
1875,0.3243,37
1876,0.1522,46
1877,0.2414,58
1878,0.2679,56
1879,0.4048,42
1880,0.4364,55
1881,0.339,59
1882,0.2857,42
1883,0.383,47
1884,0.2807,57
1885,0.1475,61
1886,0.2353,51
1887,0.3182,66
1888,0.2586,58
1889,0.2429,70
1890,0.3704,81
1891,0.2444,90
1892,0.3636,66
1893,0.2,70
1894,0.3793,58
1895,0.2576,66
1896,0.1798,89
1897,0.2268,97
1898,0.2778,72
1899,0.2667,90
1900,0.3056,72
1901,0.1765,102
1902,0.1923,52
1903,0.2439,82
1904,0.3582,67
1905,0.2923,65
1906,0.3929,56
1907,0.2791,86
1908,0.2267,75
1909,0.3538,65
1910,0.3656,93
1911,0.3176,85
1912,0.2658,79
1913,0.36,75
1914,0.21,100
1915,0.1647,85
1916,0.275,80
1917,0.4459,74
1918,0.377,61
1919,0.3,70
1920,0.25,64
1921,0.4667,75
1922,0.4444,108
1923,0.4634,41
1924,0.2889,45
1925,0.1795,39
1926,0.4545,33
1927,0.2766,47
1928,0.3684,38
1929,0.4565,46
1930,0.413,46
1931,0.3636,55
1932,0.2,35
1933,0.3243,37
1934,0.2581,31
1935,0.3784,37
1936,0.4242,33
1937,0.4808,52
1938,0.493,71
1939,0.4792,48
1940,0.3061,49
1941,0.3409,44
1942,0.5,44
1943,0.35,40
1944,0.375,32
1946,0.5094,53
1947,0.2917,48
1948,0.6389,36
1949,0.5091,55
1950,0.3077,52
1951,0.3864,44
1952,0.4651,43
1953,0.3929,56
1954,0.4375,48
1955,0.5143,70
1956,0.4545,44
1957,0.4545,55
1958,0.4667,60
1959,0.4776,67
1960,0.589,73
1961,0.5426,94
1962,0.573,89
1963,0.3871,93
1964,0.5408,98
1965,0.581,105
1966,0.5556,99
1967,0.4259,108
1968,0.5287,157
1969,0.6147,109
1970,0.5243,103
1971,0.563,119
1972,0.5397,126
1973,0.5036,139
1974,0.5766,137
1975,0.5625,144
1976,0.6096,146
1977,0.5947,190
1978,0.5828,151
1979,0.6042,144
1980,0.6154,130
1981,0.6016,128
1982,0.6404,203
1983,0.6944,180
1984,0.6439,132
1985,0.627,126
1986,0.5641,117
1987,0.6818,132
1988,0.5625,176
1989,0.6603,156
1990,0.4909,110
1991,0.7262,84
1992,0.6645,152
1993,0.6619,210
1994,0.5989,374
1995,0.585,200
1996,0.8162,136
1997,0.656,125
1998,0.6822,107
1999,0.5938,96
2000,0.7692,65
2001,0.6923,52
2002,0.625,80
2003,0.68,75
2004,0.5625,80
2005,0.5714,91
2006,0.5556,81
2007,0.551,49
2008,0.5873,63
2009,0.5581,43
