date,ordinality,count
1833,0.0,35
1834,0.0,67
1835,0.0,75
1837,0.0,48
1847,0.0,37
1851,0.0,39
1852,0.0,71
1853,0.0,55
1854,0.0,64
1855,0.0,65
1856,0.0,50
1857,0.0,55
1858,0.0,46
1860,0.0,57
1861,0.0,46
1862,0.0,41
1863,0.0,45
1864,0.0,51
1865,0.0,51
1866,0.0,81
1867,0.0,90
1868,0.0,55
1869,0.0,87
1870,0.0,74
1871,0.0,51
1872,0.0,42
1873,0.0357,56
1874,0.0,53
1875,0.0,66
1876,0.0,85
1877,0.0,59
1878,0.0,64
1879,0.0,80
1880,0.0,174
1881,0.0,87
1882,0.0,86
1883,0.0,177
1884,0.0,95
1885,0.0,95
1886,0.0,118
1887,0.0,111
1888,0.0,176
1889,0.0,81
1890,0.0,99
1891,0.0,84
1892,0.0,99
1893,0.0,107
1894,0.0,88
1895,0.0,147
1896,0.0,127
1897,0.0,123
1898,0.0,168
1899,0.0,107
1900,0.0,189
1901,0.0,123
1902,0.0,195
1903,0.0,224
1904,0.0,166
1905,0.0,259
1906,0.0,234
1907,0.0,178
1908,0.0,230
1909,0.0,223
1910,0.0,235
1911,0.0,231
1912,0.0,247
1913,0.0,251
1914,0.0,268
1915,0.0,207
1916,0.0055,183
1917,0.0,180
1918,0.0,173
1919,0.0,211
1920,0.0,238
1921,0.0,176
1922,0.0,260
1923,0.0093,107
1924,0.0,93
1925,0.0,76
1926,0.0,94
1927,0.0,102
1928,0.0198,101
1929,0.0,119
1930,0.0,91
1931,0.0,86
1932,0.0,88
1933,0.0,68
1934,0.0,58
1935,0.0,48
1936,0.0,69
1937,0.0,74
1938,0.0,71
1939,0.0,71
1940,0.0,52
1941,0.0,42
1942,0.0,54
1943,0.0,46
1944,0.0,39
1945,0.0,41
1946,0.0,47
1947,0.0,63
1948,0.0,53
1949,0.0,51
1950,0.0,43
1951,0.0,52
1952,0.0,74
1953,0.0,44
1954,0.0,68
1955,0.0,39
1956,0.0,41
1957,0.0,32
1958,0.0,96
1959,0.0,50
1960,0.0,41
1961,0.0,41
1962,0.0,46
1963,0.0,53
1964,0.0435,46
1965,0.0,90
1966,0.0,66
1967,0.0,37
1968,0.0,80
1969,0.0,70
1970,0.0,54
1971,0.0,73
1972,0.0,57
1973,0.0,47
1974,0.0,51
1975,0.0,76
1976,0.0,57
1977,0.0,82
1978,0.0,76
1979,0.0,52
1980,0.0,122
1981,0.0,49
1982,0.0,38
1983,0.0303,33
1984,0.0,37
1985,0.0,36
1987,0.0,74
1988,0.0,57
1989,0.0,35
1990,0.0,38
1992,0.0,34
1993,0.0,60
1994,0.0,101
1995,0.0,40
1996,0.0,62
1997,0.0,32
1998,0.0,37
1999,0.0,42
2006,0.0,39
