date,ordinality,count
1836,0.0,32
1847,0.0,32
1854,0.0,45
1856,0.0,36
1859,0.0286,35
1869,0.0,40
1870,0.0,33
1871,0.0,33
1880,0.0,32
1885,0.0,34
1889,0.0,35
1890,0.0,33
1893,0.0,47
1894,0.0,30
1895,0.0,32
1897,0.0,39
1898,0.0,30
1899,0.0,46
1900,0.0,35
1902,0.0323,31
1905,0.0,40
1906,0.0227,44
1907,0.0,57
1908,0.0,42
1909,0.0,46
1910,0.0,42
1911,0.0,45
1912,0.0,50
1913,0.0,41
1914,0.0,39
1915,0.0213,47
1917,0.0,42
1919,0.0,32
1920,0.0,40
1921,0.0,31
1922,0.0,48
1924,0.0,32
1926,0.0,31
1928,0.0,35
1929,0.0,32
1930,0.0,45
1931,0.0,34
1935,0.0256,39
1936,0.0,32
1937,0.0,31
1938,0.0,30
1939,0.0,36
1940,0.0,46
1941,0.0,38
1942,0.0,33
1943,0.0,34
1945,0.0,35
1946,0.0,40
1947,0.0,35
1948,0.0,41
1949,0.0,56
1950,0.0,80
1951,0.0,53
1952,0.0,42
1953,0.0,53
1954,0.0,102
1955,0.0,57
1956,0.0,59
1957,0.0,79
1958,0.0,51
1959,0.0,74
1960,0.0,88
1961,0.0,83
1962,0.0,72
1963,0.0,93
1964,0.0,81
1965,0.0,101
1966,0.0,96
1967,0.0075,134
1968,0.0,142
1969,0.0,118
1970,0.0,141
1971,0.0,127
1972,0.0143,140
1973,0.0,181
1974,0.0,135
1975,0.0,145
1976,0.0,153
1977,0.0,157
1978,0.0,189
1979,0.0,157
1980,0.0,203
1981,0.0,207
1982,0.0,221
1983,0.0,168
1984,0.0,170
1985,0.0,164
1986,0.0,157
1987,0.0,156
1988,0.0,161
1989,0.0052,192
1990,0.0,135
1991,0.0,155
1992,0.0,134
1993,0.0,268
1994,0.0,241
1995,0.0,268
1996,0.0,172
1997,0.0069,145
1998,0.0,199
1999,0.0088,113
2000,0.0,95
2001,0.0,125
2002,0.0,107
2003,0.0,111
2004,0.0,122
2005,0.0,131
2006,0.0,130
2007,0.0,92
2008,0.0,102
2009,0.0,72
2010,0.0,32
