date,ordinality,count
1843,0.0,34
1844,0.0,32
1845,0.0,32
1846,0.0204,49
1850,0.0,42
1853,0.0294,34
1854,0.0,45
1855,0.0,42
1856,0.0,39
1857,0.0,35
1859,0.0,59
1860,0.0,44
1866,0.0,31
1868,0.027,37
1870,0.0,51
1871,0.0,46
1873,0.0,32
1875,0.0,33
1876,0.0,30
1878,0.0,43
1879,0.0233,43
1881,0.0,39
1882,0.0,46
1883,0.0,37
1884,0.0,35
1885,0.0,37
1886,0.0,53
1887,0.0,35
1888,0.0,40
1889,0.0,42
1890,0.0,38
1891,0.0,42
1892,0.0,38
1893,0.0,48
1894,0.0,45
1895,0.0,47
1896,0.0,37
1897,0.0,50
1898,0.0,54
1899,0.0,78
1900,0.0,84
1901,0.0,73
1902,0.0,73
1903,0.0,50
1904,0.0,69
1905,0.0,72
1906,0.0,49
1907,0.0,60
1908,0.0,41
1909,0.0169,59
1910,0.0,42
1911,0.0,53
1912,0.0,54
1913,0.0,50
1914,0.0,57
1915,0.0,37
1916,0.0,56
1917,0.0789,38
1919,0.0,44
1920,0.0,58
1921,0.0,52
1922,0.0,39
1923,0.0,34
1924,0.0,35
1928,0.0,45
1929,0.0,40
1930,0.0,53
1931,0.0,46
1932,0.0,36
1934,0.0,36
1935,0.0,54
1936,0.0,40
1937,0.0,65
1938,0.0179,56
1939,0.0,50
1940,0.0,51
1941,0.0,44
1942,0.0,37
1943,0.0,35
1945,0.0,37
1947,0.0,51
1948,0.0,42
1949,0.0,50
1950,0.0,39
1951,0.0,53
1952,0.0,30
1953,0.0,32
1954,0.0,52
1955,0.0,50
1956,0.0,34
1957,0.0,37
1958,0.0,32
1959,0.0,48
1960,0.0,51
1961,0.0,46
1962,0.0,56
1963,0.0133,75
1964,0.0,64
1965,0.0,71
1966,0.0,85
1967,0.0,73
1968,0.0,97
1969,0.0,110
1970,0.0,94
1971,0.0,66
1972,0.0,77
1973,0.0,100
1974,0.0,86
1975,0.0,69
1976,0.0,59
1977,0.0,76
1978,0.0,66
1979,0.0,67
1980,0.0,70
1981,0.0,59
1982,0.0,72
1983,0.0133,75
1984,0.0182,55
1985,0.0,32
1986,0.0,50
1987,0.0,69
1988,0.0,75
1989,0.0,83
1990,0.0,49
1991,0.0,80
1992,0.0,85
1993,0.0,147
1994,0.0,199
1995,0.0,143
1996,0.0,94
1997,0.0,94
1998,0.0118,85
1999,0.0,57
2000,0.0,39
2001,0.0,46
2002,0.0,66
2003,0.0,30
2004,0.0,67
2005,0.0,87
2006,0.0,81
2008,0.0,74
2009,0.0,51
