date,ordinality,count
1805,0.0303,33
1807,0.0526,38
1809,0.0303,33
1810,0.0444,45
1811,0.027,37
1812,0.0448,67
1813,0.0,58
1814,0.0556,36
1815,0.0408,49
1816,0.0,61
1817,0.0,56
1818,0.0208,48
1819,0.0204,49
1820,0.0606,66
1821,0.0,59
1822,0.0182,55
1823,0.0847,59
1824,0.0531,113
1825,0.0824,85
1826,0.0476,63
1827,0.0111,90
1828,0.119,84
1829,0.04,100
1830,0.0261,115
1831,0.1058,104
1832,0.0541,111
1833,0.031,129
1834,0.045,111
1835,0.1022,137
1836,0.0657,137
1837,0.0299,134
1838,0.0387,155
1839,0.0759,158
1840,0.0429,140
1841,0.0413,121
1842,0.0235,170
1843,0.0928,97
1844,0.0457,197
1845,0.0483,207
1846,0.056,232
1847,0.0474,211
1848,0.0695,187
1849,0.0564,195
1850,0.0491,224
1851,0.0405,247
1852,0.0476,210
1853,0.1008,258
1854,0.0595,269
1855,0.0304,263
1856,0.052,250
1857,0.0354,198
1858,0.0245,163
1859,0.0438,251
1860,0.0601,283
1861,0.0329,152
1862,0.0387,155
1863,0.0299,134
1864,0.0388,129
1865,0.0397,126
1866,0.0412,194
1867,0.0505,198
1868,0.0351,171
1869,0.0561,196
1870,0.0182,165
1871,0.0216,185
1872,0.0395,177
1873,0.0548,146
1874,0.0174,115
1875,0.0267,187
1876,0.0439,205
1877,0.0355,141
1878,0.035,143
1879,0.018,167
1880,0.0422,166
1881,0.033,212
1882,0.0368,163
1883,0.0546,183
1884,0.0237,169
1885,0.0252,159
1886,0.0343,175
1887,0.0123,163
1888,0.0462,195
1889,0.0199,251
1890,0.0281,178
1891,0.0524,191
1892,0.0576,191
1893,0.0267,225
1894,0.0105,190
1895,0.0363,193
1896,0.0202,198
1897,0.0489,184
1898,0.0227,176
1899,0.0448,335
1900,0.0522,249
1901,0.05,220
1902,0.0383,209
1903,0.047,234
1904,0.0189,212
1905,0.0326,215
1906,0.0202,198
1907,0.0281,249
1908,0.0303,231
1909,0.013,230
1910,0.042,262
1911,0.0442,226
1912,0.0392,255
1913,0.0212,236
1914,0.0184,272
1915,0.0265,189
1916,0.0482,228
1917,0.0366,191
1918,0.022,182
1919,0.0347,173
1920,0.0265,189
1921,0.0222,180
1922,0.0335,209
1923,0.0252,119
1924,0.0496,141
1925,0.0139,144
1926,0.032,125
1927,0.0207,145
1928,0.0087,115
1929,0.0373,134
1930,0.036,139
1931,0.027,148
1932,0.0219,137
1933,0.0326,92
1934,0.0286,140
1935,0.0286,140
1936,0.0159,126
1937,0.0654,107
1938,0.0241,166
1939,0.0068,148
1940,0.0375,160
1941,0.0362,138
1942,0.0086,116
1943,0.0088,114
1944,0.0157,127
1945,0.0256,117
1946,0.0503,179
1947,0.0265,189
1948,0.0407,221
1949,0.0192,208
1950,0.025,200
1951,0.0228,219
1952,0.05,240
1953,0.0457,197
1954,0.0311,257
1955,0.0241,249
1956,0.0623,257
1957,0.0357,224
1958,0.0306,229
1959,0.0408,294
1960,0.0408,343
1961,0.0379,343
1962,0.0443,384
1963,0.0453,397
1964,0.0465,387
1965,0.0474,443
1966,0.0304,493
1967,0.0455,483
1968,0.0482,622
1969,0.0385,598
1970,0.0457,700
1971,0.0354,706
1972,0.0564,798
1973,0.0504,794
1974,0.0471,743
1975,0.0373,831
1976,0.0294,647
1977,0.0493,933
1978,0.0297,1009
1979,0.0407,908
1980,0.0425,870
1981,0.0518,1024
1982,0.0339,1152
1983,0.0375,1174
1984,0.031,1031
1985,0.0445,697
1986,0.0336,773
1987,0.0525,991
1988,0.0467,1307
1989,0.0505,1267
1990,0.0339,885
1991,0.0598,820
1992,0.0396,984
1993,0.0529,2343
1994,0.0481,3554
1995,0.0396,2800
1996,0.0564,1969
1997,0.057,1105
1998,0.0464,1423
1999,0.0391,819
2000,0.0561,659
2001,0.0386,544
2002,0.0325,585
2003,0.0414,700
2004,0.0405,691
2005,0.0573,1327
2006,0.0483,1222
2007,0.0348,575
2008,0.0462,909
2009,0.0267,787
2010,0.0635,315
2011,0.0784,102
2012,0.0233,86
2013,0.0455,44
2014,0.1395,43
2015,0.0,36
2016,0.0256,39
2017,0.0312,32
