date,ordinality,count
1881,0.6786,35
1884,0.7879,33
1886,0.75,32
1887,0.7647,34
1888,0.9097,36
1889,0.8788,33
1891,0.7317,41
1893,0.8125,32
1894,0.8289,38
1895,0.8292,61
1896,0.8438,32
1897,0.875,40
1898,0.6053,38
1899,0.808,45
1900,0.7753,56
1901,0.8308,65
1902,0.7311,33
1903,0.8484,61
1905,0.8304,56
1906,0.8196,51
1907,0.822,59
1908,0.7174,46
1909,0.8221,55
1910,0.7414,66
1911,0.7468,57
1912,0.8189,67
1913,0.8428,69
1914,0.8719,75
1915,0.8656,63
1916,0.789,68
1917,0.8117,54
1918,0.7579,44
1919,0.8101,43
1920,0.8266,37
1921,0.6521,59
1922,0.8019,59
1925,0.8333,41
1930,0.7382,38
1931,0.4775,31
1932,0.5714,35
1936,0.6447,38
1937,0.7355,37
1938,0.6905,35
1939,0.6834,36
1940,0.6774,31
1942,0.6685,37
1947,0.6562,32
1948,0.7778,45
1949,0.8235,34
1950,0.6815,54
1951,0.7193,57
1952,0.7681,46
1953,0.675,65
1954,0.8254,51
1955,0.7222,54
1956,0.8103,58
1957,0.8178,75
1958,0.7987,77
1959,0.8882,85
1960,0.9057,106
1961,0.875,108
1962,0.8784,111
1963,0.8777,137
1964,0.8993,149
1965,0.9018,140
1966,0.8951,168
1967,0.878,179
1968,0.8763,219
1969,0.9209,208
1970,0.876,231
1971,0.8862,283
1972,0.8989,284
1973,0.8649,267
1974,0.906,280
1975,0.8994,305
1976,0.8669,244
1977,0.8762,307
1978,0.8972,282
1979,0.9071,283
1980,0.8939,241
1981,0.8746,275
1982,0.8827,255
1983,0.8771,261
1984,0.8662,233
1985,0.8316,207
1986,0.8583,217
1987,0.8843,298
1988,0.8718,282
1989,0.8748,267
1990,0.8974,234
1991,0.856,191
1992,0.8996,212
1993,0.8817,329
1994,0.8767,375
1995,0.9082,355
1996,0.9118,275
1997,0.9149,280
1998,0.9028,259
1999,0.9283,186
2000,0.9388,188
2001,0.9583,180
2002,0.9197,218
2003,0.9536,183
2004,0.9501,167
2005,0.9444,234
2006,0.9167,192
2007,0.9371,143
2008,0.9851,134
2009,0.9231,91
2010,0.9184,49
