date,ordinality,count
1913,0.1962,33
1940,0.2088,33
1942,0.1426,37
1944,0.177,32
1946,0.1464,34
1947,0.103,33
1948,0.2255,34
1949,0.2093,41
1950,0.1429,35
1951,0.2879,33
1952,0.168,46
1953,0.1037,63
1954,0.1771,48
1955,0.2185,52
1956,0.2564,51
1957,0.1934,75
1958,0.1349,70
1959,0.2374,77
1960,0.2078,95
1961,0.145,89
1962,0.2414,115
1963,0.194,142
1964,0.1834,118
1965,0.1418,101
1966,0.1824,141
1967,0.1908,126
1968,0.1926,145
1969,0.2113,142
1970,0.2198,123
1971,0.215,133
1972,0.1896,157
1973,0.2231,151
1974,0.1656,136
1975,0.2665,156
1976,0.2135,134
1977,0.242,156
1978,0.2422,182
1979,0.2221,188
1980,0.2609,155
1981,0.252,178
1982,0.2291,194
1983,0.241,233
1984,0.2281,179
1985,0.2174,170
1986,0.2056,156
1987,0.2137,187
1988,0.1866,239
1989,0.2549,166
1990,0.2357,121
1991,0.2054,127
1992,0.2526,123
1993,0.2153,159
1994,0.2106,232
1995,0.2647,198
1996,0.2418,154
1997,0.2528,106
1998,0.3279,127
1999,0.2198,101
2000,0.2433,75
2001,0.2498,49
2002,0.243,72
2003,0.2068,65
2004,0.1907,62
2005,0.1621,79
2006,0.2661,103
2007,0.2824,43
2008,0.1247,33
2009,0.1304,31
